trial_id,N,method,true_theta,true_phi,fidelity,infidelity,z_shots,x_shots,y_shots,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward,x_fraction,y_fraction,z_fraction
1963,25,Z_only,1.6160352896036618,1.0891210442368549,0.47738823317462653,0.5226117668253735,25,0,0,13,12,0,0,0,0,,0.0,0.0,1.0
1963,25,ZX_split,1.6160352896036618,1.0891210442368549,0.6131212742442209,0.3868787257557791,12,13,0,8,4,8,5,0,0,,0.52,0.0,0.48
1963,25,XYZ_split,1.6160352896036618,1.0891210442368549,0.9792635718072266,0.020736428192773437,8,8,9,4,4,7,1,8,1,,0.32,0.36,0.32
1963,25,RL_adaptive,1.6160352896036618,1.0891210442368549,0.9922894727709874,0.007710527229012554,8,10,7,3,5,8,2,7,0,0.9922894727709874,0.4,0.28,0.32
1963,50,Z_only,1.6160352896036618,1.0891210442368549,0.47738823317462653,0.5226117668253735,50,0,0,31,19,0,0,0,0,,0.0,0.0,1.0
1963,50,ZX_split,1.6160352896036618,1.0891210442368549,0.7031222211798831,0.2968777788201169,25,25,0,8,17,19,6,0,0,,0.5,0.0,0.5
1963,50,XYZ_split,1.6160352896036618,1.0891210442368549,0.9420430797787859,0.057956920221214125,16,16,18,7,9,8,8,18,0,,0.32,0.36,0.32
1963,50,RL_adaptive,1.6160352896036618,1.0891210442368549,0.9934773418706738,0.006522658129326175,19,16,15,9,10,14,2,15,0,0.9934773418706738,0.32,0.3,0.38
1963,100,Z_only,1.6160352896036618,1.0891210442368549,0.5226117668253735,0.47738823317462653,100,0,0,39,61,0,0,0,0,,0.0,0.0,1.0
1963,100,ZX_split,1.6160352896036618,1.0891210442368549,0.6796100927786272,0.32038990722137284,50,50,0,14,36,36,14,0,0,,0.5,0.0,0.5
1963,100,XYZ_split,1.6160352896036618,1.0891210442368549,0.9872745712516016,0.012725428748398437,33,33,34,14,19,21,12,33,1,,0.33,0.34,0.33
1963,100,RL_adaptive,1.6160352896036618,1.0891210442368549,0.9804630826655373,0.019536917334462722,29,41,30,9,20,31,10,30,0,0.9804630826655373,0.41,0.3,0.29
1963,250,Z_only,1.6160352896036618,1.0891210442368549,0.5226117668253735,0.47738823317462653,250,0,0,107,143,0,0,0,0,,0.0,0.0,1.0
1963,250,ZX_split,1.6160352896036618,1.0891210442368549,0.7324952437056987,0.26750475629430126,125,125,0,59,66,100,25,0,0,,0.5,0.0,0.5
1963,250,XYZ_split,1.6160352896036618,1.0891210442368549,0.9968333397232074,0.0031666602767925767,83,83,84,36,47,66,17,81,3,,0.332,0.336,0.332
1963,250,RL_adaptive,1.6160352896036618,1.0891210442368549,0.9933852872865937,0.006614712713406301,98,64,88,55,43,47,17,85,3,0.9933852872865937,0.256,0.352,0.392
1963,500,Z_only,1.6160352896036618,1.0891210442368549,0.47738823317462653,0.5226117668253735,500,0,0,251,249,0,0,0,0,,0.0,0.0,1.0
1963,500,ZX_split,1.6160352896036618,1.0891210442368549,0.7324477162175619,0.2675522837824381,250,250,0,118,132,184,66,0,0,,0.5,0.0,0.5
1963,500,XYZ_split,1.6160352896036618,1.0891210442368549,0.9972889155731206,0.0027110844268793954,166,166,168,77,89,112,54,157,11,,0.332,0.336,0.332
1963,500,RL_adaptive,1.6160352896036618,1.0891210442368549,0.9942237126619686,0.005776287338031372,140,150,210,56,84,114,36,199,11,0.9942237126619686,0.3,0.42,0.28
1964,10,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,10,0,0,4,6,0,0,0,0,,0.0,0.0,1.0
1964,10,ZX_split,1.9173657350405398,1.495766428118031,0.6450190747626364,0.3549809252373636,5,5,0,2,3,3,2,0,0,,0.5,0.0,0.5
1964,10,XYZ_split,1.9173657350405398,1.495766428118031,0.8374541698855994,0.1625458301144006,3,3,4,1,2,0,3,4,0,,0.3,0.4,0.3
1964,10,RL_adaptive,1.9173657350405398,1.495766428118031,0.9352053403741689,0.06479465962583109,2,4,4,1,1,3,1,4,0,0.9352053403741689,0.4,0.4,0.2
1964,25,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,25,0,0,11,14,0,0,0,0,,0.0,0.0,1.0
1964,25,ZX_split,1.9173657350405398,1.495766428118031,0.6734138840910396,0.32658611590896036,12,13,0,4,8,7,6,0,0,,0.52,0.0,0.48
1964,25,XYZ_split,1.9173657350405398,1.495766428118031,0.9904687559804324,0.00953124401956762,8,8,9,3,5,5,3,9,0,,0.32,0.36,0.32
1964,25,RL_adaptive,1.9173657350405398,1.495766428118031,0.9757009054379063,0.02429909456209367,9,9,7,1,8,5,4,7,0,0.9757009054379063,0.36,0.28,0.36
1964,50,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,50,0,0,17,33,0,0,0,0,,0.0,0.0,1.0
1964,50,ZX_split,1.9173657350405398,1.495766428118031,0.6726906901648448,0.32730930983515516,25,25,0,8,17,13,12,0,0,,0.5,0.0,0.5
1964,50,XYZ_split,1.9173657350405398,1.495766428118031,0.9862341234396669,0.013765876560333123,16,16,18,4,12,10,6,17,1,,0.32,0.36,0.32
1964,50,RL_adaptive,1.9173657350405398,1.495766428118031,0.9649289734750793,0.03507102652492067,18,16,16,2,16,11,5,16,0,0.9649289734750793,0.32,0.32,0.36
1964,100,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,100,0,0,30,70,0,0,0,0,,0.0,0.0,1.0
1964,100,ZX_split,1.9173657350405398,1.495766428118031,0.6617305005396615,0.33826949946033846,50,50,0,13,37,23,27,0,0,,0.5,0.0,0.5
1964,100,XYZ_split,1.9173657350405398,1.495766428118031,0.997933224344856,0.0020667756551440153,33,33,34,10,23,19,14,33,1,,0.33,0.34,0.33
1964,100,RL_adaptive,1.9173657350405398,1.495766428118031,0.9938842010131486,0.0061157989868514395,29,40,31,9,20,19,21,28,3,0.9938842010131486,0.4,0.31,0.29
1964,250,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,250,0,0,84,166,0,0,0,0,,0.0,0.0,1.0
1964,250,ZX_split,1.9173657350405398,1.495766428118031,0.6734300715467637,0.3265699284532363,125,125,0,47,78,66,59,0,0,,0.5,0.0,0.5
1964,250,XYZ_split,1.9173657350405398,1.495766428118031,0.9946721786926108,0.00532782130738918,83,83,84,32,51,48,35,84,0,,0.332,0.336,0.332
1964,250,RL_adaptive,1.9173657350405398,1.495766428118031,0.9966984838992546,0.003301516100745361,97,71,82,36,61,41,30,77,5,0.9966984838992546,0.284,0.328,0.388
1964,500,Z_only,1.9173657350405398,1.495766428118031,0.669836595860164,0.330163404139836,500,0,0,166,334,0,0,0,0,,0.0,0.0,1.0
1964,500,ZX_split,1.9173657350405398,1.495766428118031,0.6733154070738997,0.3266845929261003,250,250,0,77,173,137,113,0,0,,0.5,0.0,0.5
1964,500,XYZ_split,1.9173657350405398,1.495766428118031,0.996984016638485,0.0030159833615149845,166,166,168,59,107,81,85,165,3,,0.332,0.336,0.332
1964,500,RL_adaptive,1.9173657350405398,1.495766428118031,0.9999709280516527,2.907194834733673e-05,136,155,209,44,92,83,72,203,6,0.9999709280516527,0.31,0.418,0.272
1965,10,Z_only,1.6883219276791652,3.531819263959475,0.5586276192536244,0.44137238074637564,10,0,0,2,8,0,0,0,0,,0.0,0.0,1.0
1965,10,ZX_split,1.6883219276791652,3.531819263959475,0.9618016878446264,0.038198312155373615,5,5,0,2,3,0,5,0,0,,0.5,0.0,0.5
1965,10,XYZ_split,1.6883219276791652,3.531819263959475,0.9913208557622181,0.008679144237781933,3,3,4,1,2,0,3,1,3,,0.3,0.4,0.3
1965,10,RL_adaptive,1.6883219276791652,3.531819263959475,0.829417737574553,0.17058226242544705,3,3,4,1,2,0,3,3,1,0.829417737574553,0.3,0.4,0.3
1965,25,Z_only,1.6883219276791652,3.531819263959475,0.5586276192536244,0.44137238074637564,25,0,0,9,16,0,0,0,0,,0.0,0.0,1.0
1965,25,ZX_split,1.6883219276791652,3.531819263959475,0.9487521276465264,0.05124787235347361,12,13,0,4,8,1,12,0,0,,0.52,0.0,0.48
1965,25,XYZ_split,1.6883219276791652,3.531819263959475,0.9534971381916443,0.04650286180835572,8,8,9,2,6,0,8,4,5,,0.32,0.36,0.32
1965,25,RL_adaptive,1.6883219276791652,3.531819263959475,0.9694334635531192,0.030566536446880788,8,10,7,3,5,1,9,1,6,0.9694334635531192,0.4,0.28,0.32
1965,50,Z_only,1.6883219276791652,3.531819263959475,0.5586276192536244,0.44137238074637564,50,0,0,21,29,0,0,0,0,,0.0,0.0,1.0
1965,50,ZX_split,1.6883219276791652,3.531819263959475,0.9629357304156985,0.037064269584301535,25,25,0,11,14,0,25,0,0,,0.5,0.0,0.5
1965,50,XYZ_split,1.6883219276791652,3.531819263959475,0.9915869975431277,0.008413002456872265,16,16,18,8,8,1,15,7,11,,0.32,0.36,0.32
1965,50,RL_adaptive,1.6883219276791652,3.531819263959475,0.9893685445973908,0.010631455402609236,17,18,15,7,10,1,17,3,12,0.9893685445973908,0.36,0.3,0.34
1965,100,Z_only,1.6883219276791652,3.531819263959475,0.5586276192536244,0.44137238074637564,100,0,0,41,59,0,0,0,0,,0.0,0.0,1.0
1965,100,ZX_split,1.6883219276791652,3.531819263959475,0.9624344192119254,0.03756558078807459,50,50,0,23,27,0,50,0,0,,0.5,0.0,0.5
1965,100,XYZ_split,1.6883219276791652,3.531819263959475,0.9891243523669415,0.010875647633058483,33,33,34,16,17,2,31,14,20,,0.33,0.34,0.33
1965,100,RL_adaptive,1.6883219276791652,3.531819263959475,0.9978865144662034,0.002113485533796644,31,38,31,13,18,2,36,11,20,0.9978865144662034,0.38,0.31,0.31
1965,250,Z_only,1.6883219276791652,3.531819263959475,0.5586276192536244,0.44137238074637564,250,0,0,106,144,0,0,0,0,,0.0,0.0,1.0
1965,250,ZX_split,1.6883219276791652,3.531819263959475,0.9551088465731257,0.04489115342687433,125,125,0,44,81,5,120,0,0,,0.5,0.0,0.5
