target_id,seed,N,drift_level,final_fidelity_RL_adaptive,final_fidelity_XYZ_interleaved,tracking_fidelity_RL_adaptive,tracking_fidelity_XYZ_interleaved,delta_final_fidelity,delta_tracking_fidelity
8,0,25,0.0,0.8668864083078275,0.5828379413073564,0.6709622792474673,0.5216086505455787,0.28404846700047104,0.14935362870188862
8,0,25,0.0025,0.8552719806425225,0.9039577284101454,0.8624276600339768,0.805140892824584,-0.04868574776762291,0.05728676720939274
8,0,25,0.005,0.9312103784490522,0.8823954117373134,0.8221331988164485,0.8223847814055156,0.048814966711738794,-0.00025158258906710085
8,0,25,0.01,0.8545387607770719,0.9113366536734238,0.7984427463012577,0.8413115367352453,-0.05679789289635184,-0.042868790433987614
8,0,50,0.0,0.979788143833932,0.9762807882512837,0.8991112409389129,0.8517801634871526,0.0035073555826482528,0.04733107745176035
8,0,50,0.0025,0.9795908587302927,0.8715106766423669,0.9090524479078289,0.7955625156097794,0.1080801820879258,0.11348993229804949
8,0,50,0.005,0.9630391738585953,0.6443378816122586,0.8760714759581785,0.855989000216942,0.3187012922463367,0.02008247574123645
8,0,50,0.01,0.9261496816680057,0.8838379412081101,0.8522650760127578,0.7942993877593411,0.04231174045989561,0.05796568825341675
9,0,10,0.0,0.8588747324519294,0.9061462695177727,0.7824563387665564,0.6597746151218848,-0.047271537065843305,0.12268172364467156
9,0,10,0.0025,0.458245827252887,0.8719318271743463,0.5578285652109551,0.8112082236921916,-0.41368599992145927,-0.25337965848123645
9,0,10,0.005,0.8523284620352964,0.7974771888525123,0.7863108124035567,0.5674923712400001,0.054851273182784155,0.21881844116355664
9,0,10,0.01,0.3283030300638579,0.8041093106073016,0.39440337763495126,0.7843464472862717,-0.4758062805434437,-0.3899430696513204
9,0,25,0.0,0.9215248587049493,0.8461392385913965,0.7486145202875211,0.8852466819399979,0.07538562011355276,-0.13663216165247682
9,0,25,0.0025,0.7722174524441214,0.8786831025104379,0.7779602389094407,0.7813925392073837,-0.10646565006631648,-0.0034323002979430584
9,0,25,0.005,0.9826854221680787,0.8955467383343235,0.862145348486542,0.8761979001325569,0.08713868383375523,-0.014052551646014932
9,0,25,0.01,0.6659191510545046,0.8817604502018382,0.6376969420989368,0.8695719882532412,-0.21584129914733363,-0.23187504615430443
9,0,50,0.0,0.8871702879902894,0.9780912924586124,0.782009509833988,0.8677516978782579,-0.09092100446832296,-0.08574218804426992
9,0,50,0.0025,0.9745912842605855,0.8091484908770794,0.8475613039102268,0.9067383666208403,0.1654427933835061,-0.059177062710613515
9,0,50,0.005,0.9390184627729117,0.9312865537839202,0.8895226566781537,0.719492863077293,0.007731908988991454,0.17002979360086068
9,0,50,0.01,0.899991885638461,0.7114877077247075,0.8662248049711639,0.7374649349467122,0.1885041779137535,0.12875987002445177
10,0,10,0.0,0.7069708261605533,0.8547247383944854,0.6945258798902144,0.6864431601996779,-0.14775391223393208,0.008082719690536533
10,0,10,0.0025,0.9019812518637547,0.9527024359750103,0.707025966561305,0.7511218734966604,-0.05072118411125559,-0.04409590693535537
10,0,10,0.005,0.7437475246250959,0.7743822002245798,0.5125579975855904,0.5790605962896394,-0.030634675599483963,-0.06650259870404895
10,0,10,0.01,0.6061948801897602,0.47429628228769827,0.7572104595031021,0.40776851906237666,0.13189859790206193,0.3494419404407254
10,0,25,0.0,0.9624398605086858,0.8686288568227969,0.8382666883592048,0.833380959102615,0.0938110036858889,0.00488572925658981
10,0,25,0.0025,0.9034952306115422,0.9824838737297353,0.8608510731095201,0.5830788880625125,-0.07898864311819309,0.2777721850470076
10,0,25,0.005,0.9114849953964056,0.9446281211895806,0.8030676152323295,0.8661680289581061,-0.03314312579317502,-0.06310041372577657
10,0,25,0.01,0.9557309607397879,0.8718600338359909,0.8743495040706286,0.8460133008227436,0.08387092690379705,0.028336203247884995
10,0,50,0.0,0.9638892879767944,0.9467301476110561,0.9065895615259606,0.8027621614009857,0.01715914036573829,0.10382740012497493
10,0,50,0.0025,0.9700514971165375,0.9021842283326778,0.8236281178912812,0.8397333896884963,0.06786726878385974,-0.016105271797215104
10,0,50,0.005,0.9115449278604267,0.8907523150235477,0.7886133055892369,0.8189022023226322,0.020792612836879054,-0.0302888967333953
10,0,50,0.01,0.9892843884831617,0.8701878490061642,0.8688948699635191,0.8558857175918422,0.1190965394769975,0.01300915237167688
11,0,10,0.0,0.8867604556479962,0.9667011467902272,0.6954030623536724,0.6388634784952771,-0.07994069114223101,0.056539583858395304
11,0,10,0.0025,0.9436367871495907,0.5037700391265117,0.8292649770581495,0.42659498964215603,0.4398667480230789,0.40266998741599347
11,0,10,0.005,0.8197731715471395,0.5215318227512619,0.6664690949909422,0.5135782158697659,0.2982413487958776,0.15289087912117627
11,0,10,0.01,0.784273121775428,0.9616626235525569,0.6567955643171995,0.7198769049705608,-0.17738950177712898,-0.06308134065336124
11,0,25,0.0,0.8982400401072939,0.805418995409399,0.8717802756511162,0.8275247997878025,0.09282104469789487,0.04425547586331369
11,0,25,0.0025,0.945778400813083,0.9806558480005386,0.8488883267900323,0.832779307463302,-0.03487744718745567,0.016109019326730367
11,0,25,0.005,0.8478369714787898,0.8920331018446169,0.6658330179028198,0.7067503529763105,-0.044196130365827146,-0.04091733507349071
11,0,25,0.01,0.9772059544591721,0.857561562262888,0.7637721498153534,0.8029349067909485,0.11964439219628409,-0.039162756975595125
11,0,50,0.0,0.9427544047886729,0.8808164223074362,0.7448717781104738,0.735848340902918,0.06193798248123672,0.009023437207555829
11,0,50,0.0025,0.9578087422659316,0.9356847532507919,0.8750542215443273,0.7774800195274245,0.022123989015139678,0.09757420201690281
11,0,50,0.005,0.9161175128767918,0.7808225108694152,0.8243901408415474,0.84646812012469,0.13529500200737654,-0.02207797928314259
11,0,50,0.01,0.9821240245409807,0.9074103291066665,0.7794436816343837,0.8254322680575712,0.07471369543431416,-0.04598858642318748
