target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
1,0,50,0.01,Balanced_random,0.9453252519203535,0.05467474807964645,0.7288127859174707,0.2711872140825293,7,2,8,5,2,6,6,9,5
2,0,10,0.0,RL_adaptive,0.8532292019238398,0.14677079807616022,0.42619058358041484,0.5738094164195852,1,1,0,0,1,2,2,2,1
2,0,10,0.0,XYZ_interleaved,0.8919559882635187,0.10804401173648126,0.8379652791604382,0.16203472083956183,3,0,0,0,4,0,0,0,3
2,0,10,0.0,ZX_interleaved,0.7377422400923013,0.26225775990769873,0.7000049955560648,0.29999500444393523,5,0,0,0,5,0,0,0,0
2,0,10,0.0,Z_only,0.6220382504719782,0.37796174952802175,0.6220382504719782,0.37796174952802175,10,0,0,0,0,0,0,0,0
2,0,10,0.0,Balanced_random,0.6847650750519516,0.3152349249480484,0.6911461168390873,0.30885388316091267,4,0,0,0,1,3,1,1,0
2,0,10,0.0025,RL_adaptive,0.9346402563587765,0.06535974364122354,0.897522242668306,0.10247775733169395,1,1,0,0,1,3,2,1,1
2,0,10,0.0025,XYZ_interleaved,0.9306866793811917,0.06931332061880835,0.6992488696019867,0.30075113039801327,3,0,0,0,4,0,0,0,3
2,0,10,0.0025,ZX_interleaved,0.9552274661536669,0.04477253384633306,0.9137785003755265,0.08622149962447345,5,0,0,0,5,0,0,0,0
2,0,10,0.0025,Z_only,0.7585056349352024,0.2414943650647976,0.7567485085166827,0.24325149148331726,10,0,0,0,0,0,0,0,0
2,0,10,0.0025,Balanced_random,0.9801680843754533,0.01983191562454667,0.7234819435645847,0.27651805643541527,2,1,0,0,2,1,0,1,3
2,0,10,0.005,RL_adaptive,0.7648190362181947,0.2351809637818053,0.7492255069946909,0.2507744930053091,1,1,0,0,1,2,4,0,1
2,0,10,0.005,XYZ_interleaved,0.896343186920836,0.10365681307916397,0.7466948852327346,0.25330511476726536,3,0,0,0,4,0,0,0,3
