target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,reward
39,2,10,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,10,0,0,
39,2,10,ZX_split,3.1429672169954475,2.9441970937399127,0.19877012325553478,0.9901550876733665,0.009844912326633537,0,5,3,2,
39,2,10,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,9,0,1,0.8540390379867142
39,2,25,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,25,0,0,
39,2,25,ZX_split,3.1429672169954475,2.647651284670212,0.4953159323252354,0.9399092940341466,0.06009070596585342,0,12,10,3,
39,2,25,RL_adaptive,3.1429672169954475,3.5363837732895544,0.393416556294107,0.9618023645507093,0.03819763544929067,0,1,7,17,0.9618023645507093
39,2,50,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,50,0,0,
39,2,50,ZX_split,3.1429672169954475,3.3389882134396736,0.1960209964442261,0.9904246616510956,0.00957533834890445,0,25,10,15,
39,2,50,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,49,0,1,0.8540390379867142
39,2,100,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,100,0,0,
39,2,100,ZX_split,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,50,25,25,
39,2,100,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,99,1,0,0.8530670751874803
39,2,250,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,250,0,0,
39,2,250,ZX_split,3.1429672169954475,2.8984972274079497,0.24446998958749777,0.9851328730416173,0.01486712695838266,0,125,78,47,
39,2,250,RL_adaptive,3.1429672169954475,3.153640263443979,0.010673046448531398,0.9999715217902171,2.8478209782911712e-05,0,1,123,126,0.9999715217902171
39,2,500,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,500,0,0,
39,2,500,ZX_split,3.1429672169954475,3.3080383471383366,0.1650711301428891,0.9932033347795969,0.00679666522040312,0,250,104,146,
39,2,500,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,499,1,0,0.8530670751874803
39,3,10,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,10,0,0,
39,3,10,ZX_split,3.1429672169954475,3.3389882134396736,0.1960209964442261,0.9904246616510956,0.00957533834890445,0,5,2,3,
39,3,10,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,9,1,0,0.8530670751874803
39,3,25,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,25,0,0,
39,3,25,ZX_split,3.1429672169954475,3.368391501643679,0.2254242846482315,0.9873496793637142,0.012650320636285795,0,12,5,8,
39,3,25,RL_adaptive,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,1,12,12,0.9999995276439353
39,3,50,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,50,0,0,
39,3,50,ZX_split,3.1429672169954475,3.1016139664665032,0.04135325052894423,0.9995725380894571,0.0004274619105428812,0,25,13,12,
39,3,50,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,49,0,1,0.8540390379867142
39,3,100,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,100,0,0,
39,3,100,ZX_split,3.1429672169954475,2.9441970937399127,0.19877012325553478,0.9901550876733665,0.009844912326633537,0,50,30,20,
39,3,100,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,99,1,0,0.8530670751874803
39,3,250,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,250,0,0,
39,3,250,ZX_split,3.1429672169954475,3.0538187612625727,0.08914845573287478,0.9980144537348232,0.001985546265176774,0,125,68,57,
39,3,250,RL_adaptive,3.1429672169954475,3.1054638030770176,0.03750341391842982,0.9996484146979187,0.00035158530208134753,0,1,129,120,0.9996484146979187
39,3,500,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,500,0,0,
39,3,500,ZX_split,3.1429672169954475,3.205505486378527,0.06253826938307938,0.9990225598448476,0.0009774401551524425,0,250,117,133,
39,3,500,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,499,1,0,0.8530670751874803
39,4,10,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,10,0,0,
