target_id,N,plane,inactive_fraction_q1,inactive_fraction_q2,inactive_fraction_mean
75,100,YZ,0.16,0.17,0.165
75,250,YZ,0.7,0.156,0.428
75,500,YZ,0.664,0.094,0.379
76,10,XY,0.3,0.3,0.3
76,25,XY,0.48,0.24,0.36
76,50,XY,0.16,0.16,0.16
76,100,XY,0.66,0.19,0.425
76,250,XY,0.124,0.612,0.368
76,500,XY,0.106,0.652,0.379
77,10,XY,0.3,0.3,0.3
77,25,XY,0.52,0.24,0.38
77,50,XY,0.16,0.16,0.16
77,100,XY,0.66,0.2,0.43
77,250,XY,0.14,0.64,0.39
77,500,XY,0.09,0.624,0.357
78,10,XY,0.3,0.3,0.3
78,25,XY,0.48,0.24,0.36
78,50,XY,0.16,0.18,0.17
78,100,XY,0.69,0.19,0.44
78,250,XY,0.12,0.648,0.384
78,500,XY,0.098,0.634,0.366
79,10,XZ,0.4,0.3,0.35
79,25,XZ,0.2,0.56,0.38
79,50,XZ,0.16,0.64,0.4
79,100,XZ,0.15,0.65,0.4
79,250,XZ,0.108,0.124,0.116
79,500,XZ,0.102,0.13,0.116
80,10,XZ,0.4,0.3,0.35
80,25,XZ,0.28,0.56,0.42
80,50,XZ,0.16,0.56,0.36
80,100,XZ,0.13,0.67,0.4
80,250,XZ,0.1,0.124,0.112
80,500,XZ,0.106,0.112,0.109
81,10,XZ,0.4,0.3,0.35
81,25,XZ,0.24,0.56,0.4
81,50,XZ,0.14,0.58,0.36
81,100,XZ,0.14,0.66,0.4
81,250,XZ,0.116,0.148,0.132
81,500,XZ,0.094,0.128,0.111
82,10,XZ,0.3,0.3,0.3
82,25,XZ,0.28,0.52,0.4
82,50,XZ,0.14,0.56,0.35
82,100,XZ,0.15,0.65,0.4
82,250,XZ,0.1,0.112,0.106
82,500,XZ,0.004,0.1,0.052
83,10,YZ,0.4,0.3,0.35
83,25,YZ,0.24,0.24,0.24
83,50,YZ,0.66,0.2,0.43
83,100,YZ,0.17,0.16,0.165
83,250,YZ,0.648,0.14,0.394
83,500,YZ,0.7,0.084,0.392
84,10,XZ,0.3,0.3,0.3
84,25,XZ,0.24,0.56,0.4
84,50,XZ,0.18,0.58,0.38
84,100,XZ,0.19,0.6,0.395
84,250,XZ,0.116,0.104,0.11
84,500,XZ,0.078,0.146,0.112
85,10,XY,0.3,0.4,0.35
85,25,XY,0.44,0.16,0.3
85,50,XY,0.16,0.2,0.18
85,100,XY,0.62,0.22,0.42
85,250,XY,0.148,0.628,0.388
85,500,XY,0.09,0.64,0.365
86,10,XY,0.3,0.4,0.35
86,25,XY,0.48,0.24,0.36
86,50,XY,0.14,0.16,0.15
86,100,XY,0.69,0.19,0.44
86,250,XY,0.12,0.66,0.39
86,500,XY,0.1,0.67,0.385
87,10,XZ,0.4,0.3,0.35
87,25,XZ,0.24,0.56,0.4
87,50,XZ,0.18,0.56,0.37
87,100,XZ,0.13,0.69,0.41
87,250,XZ,0.008,0.068,0.038
87,500,XZ,0.134,0.004,0.069
88,10,XY,0.2,0.3,0.25
88,25,XY,0.56,0.24,0.4
88,50,XY,0.16,0.14,0.15
88,100,XY,0.71,0.17,0.44
88,250,XY,0.132,0.588,0.36
88,500,XY,0.104,0.59,0.347
89,10,XY,0.4,0.3,0.35
89,25,XY,0.44,0.16,0.3
89,50,XY,0.16,0.14,0.15
89,100,XY,0.65,0.21,0.43
89,250,XY,0.128,0.672,0.4
89,500,XY,0.102,0.634,0.368
90,10,XY,0.2,0.3,0.25
90,25,XY,0.48,0.2,0.34
90,50,XY,0.16,0.16,0.16
90,100,XY,0.7,0.18,0.44
90,250,XY,0.128,0.604,0.366
90,500,XY,0.106,0.668,0.387
91,10,XY,0.3,0.3,0.3
91,25,XY,0.56,0.16,0.36
91,50,XY,0.14,0.16,0.15
91,100,XY,0.69,0.18,0.435
91,250,XY,0.14,0.584,0.362
91,500,XY,0.104,0.626,0.365
92,10,XZ,0.3,0.4,0.35
92,25,XZ,0.28,0.56,0.42
92,50,XZ,0.14,0.6,0.37
92,100,XZ,0.15,0.67,0.41
92,250,XZ,0.008,0.068,0.038
92,500,XZ,0.1,0.14,0.12
93,10,XZ,0.3,0.4,0.35
93,25,XZ,0.28,0.6,0.44
93,50,XZ,0.16,0.58,0.37
93,100,XZ,0.16,0.65,0.405
93,250,XZ,0.104,0.132,0.118
93,500,XZ,0.108,0.158,0.133
94,10,XZ,0.3,0.4,0.35
94,25,XZ,0.28,0.56,0.42
94,50,XZ,0.12,0.6,0.36
94,100,XZ,0.15,0.68,0.415
94,250,XZ,0.108,0.12,0.114
94,500,XZ,0.104,0.17,0.137
95,10,YZ,0.3,0.3,0.3
95,25,YZ,0.24,0.24,0.24
95,50,YZ,0.7,0.2,0.45
95,100,YZ,0.17,0.18,0.175
95,250,YZ,0.644,0.108,0.376
95,500,YZ,0.614,0.102,0.358
96,10,YZ,0.4,0.4,0.4
96,25,YZ,0.28,0.28,0.28
96,50,YZ,0.72,0.18,0.45
96,100,YZ,0.15,0.19,0.17
96,250,YZ,0.688,0.12,0.404
96,500,YZ,0.618,0.092,0.355
97,10,XZ,0.3,0.3,0.3
97,25,XZ,0.28,0.56,0.42
97,50,XZ,0.14,0.54,0.34
97,100,XZ,0.16,0.64,0.4
97,250,XZ,0.112,0.116,0.114
97,500,XZ,0.088,0.148,0.118
98,10,XY,0.3,0.3,0.3
98,25,XY,0.48,0.16,0.32
98,50,XY,0.2,0.18,0.19
98,100,XY,0.69,0.18,0.435
98,250,XY,0.152,0.612,0.382
98,500,XY,0.086,0.592,0.339
99,10,XY,0.4,0.3,0.35
99,25,XY,0.48,0.16,0.32
99,50,XY,0.18,0.16,0.17
99,100,XY,0.67,0.19,0.43
99,250,XY,0.156,0.632,0.394
99,500,XY,0.09,0.644,0.367
100,10,YZ,0.3,0.3,0.3
100,25,YZ,0.24,0.24,0.24
100,50,YZ,0.68,0.18,0.43
100,100,YZ,0.18,0.16,0.17
100,250,YZ,0.612,0.156,0.384
100,500,YZ,0.646,0.074,0.36
101,10,XZ,0.4,0.3,0.35
101,25,XZ,0.24,0.56,0.4
101,50,XZ,0.2,0.62,0.41
101,100,XZ,0.16,0.65,0.405
101,250,XZ,0.108,0.116,0.112
101,500,XZ,0.094,0.146,0.12
102,10,XY,0.3,0.3,0.3
102,25,XY,0.52,0.2,0.36
102,50,XY,0.18,0.16,0.17
102,100,XY,0.72,0.17,0.445
102,250,XY,0.132,0.568,0.35
102,500,XY,0.098,0.62,0.359
103,10,XZ,0.3,0.3,0.3
103,25,XZ,0.24,0.52,0.38
103,50,XZ,0.14,0.6,0.37
103,100,XZ,0.15,0.67,0.41
103,250,XZ,0.096,0.124,0.11
103,500,XZ,0.094,0.144,0.119
104,10,YZ,0.3,0.4,0.35
104,25,YZ,0.2,0.2,0.2
104,50,YZ,0.66,0.2,0.43
104,100,YZ,0.17,0.17,0.17
104,250,YZ,0.692,0.104,0.398
104,500,YZ,0.692,0.092,0.392
105,10,XZ,0.3,0.4,0.35
105,25,XZ,0.28,0.56,0.42
105,50,XZ,0.16,0.54,0.35
105,100,XZ,0.16,0.66,0.41
105,250,XZ,0.116,0.124,0.12
105,500,XZ,0.088,0.148,0.118
106,10,XZ,0.3,0.4,0.35
106,25,XZ,0.24,0.56,0.4
106,50,XZ,0.14,0.6,0.37
106,100,XZ,0.17,0.65,0.41
106,250,XZ,0.116,0.124,0.12
106,500,XZ,0.004,0.09,0.047
107,10,XZ,0.3,0.3,0.3
107,25,XZ,0.28,0.48,0.38
107,50,XZ,0.14,0.62,0.38
107,100,XZ,0.18,0.63,0.405
107,250,XZ,0.12,0.116,0.118
107,500,XZ,0.082,0.16,0.121
108,10,YZ,0.3,0.3,0.3
108,25,YZ,0.2,0.2,0.2
108,50,YZ,0.72,0.18,0.45
108,100,YZ,0.2,0.18,0.19
108,250,YZ,0.68,0.152,0.416
108,500,YZ,0.64,0.098,0.369
109,10,XY,0.3,0.3,0.3
109,25,XY,0.44,0.16,0.3
109,50,XY,0.14,0.12,0.13
109,100,XY,0.7,0.18,0.44
109,250,XY,0.156,0.636,0.396
109,500,XY,0.088,0.662,0.375
110,10,XZ,0.3,0.3,0.3
110,25,XZ,0.28,0.48,0.38
110,50,XZ,0.14,0.58,0.36
110,100,XZ,0.14,0.67,0.405
110,250,XZ,0.008,0.088,0.048
110,500,XZ,0.1,0.154,0.127
111,10,XZ,0.2,0.3,0.25
111,25,XZ,0.32,0.48,0.4
111,50,XZ,0.14,0.56,0.35
111,100,XZ,0.16,0.65,0.405
111,250,XZ,0.108,0.108,0.108
111,500,XZ,0.086,0.14,0.113
112,10,YZ,0.4,0.4,0.4
112,25,YZ,0.24,0.2,0.22
112,50,YZ,0.7,0.2,0.45
112,100,YZ,0.12,0.17,0.145
112,250,YZ,0.696,0.14,0.418
112,500,YZ,0.694,0.004,0.349
113,10,XZ,0.3,0.4,0.35
113,25,XZ,0.2,0.56,0.38
113,50,XZ,0.16,0.54,0.35
113,100,XZ,0.15,0.66,0.405
