target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
39,4,100,RL_adaptive,2.9318701610433173,3.013147667630632,0.9845426347013816,0.015457365298618408,0,1,15,44,21,19,0.9845426347013816
39,4,250,Z_only,2.9318701610433173,3.013147667630632,0.9890443631200523,0.010955636879947717,4,246,0,0,0,0,
39,4,250,ZX_split,2.9318701610433173,3.013147667630632,0.9951955208631359,0.004804479136864104,0,125,58,67,0,0,
39,4,250,XYZ_split,2.9318701610433173,3.013147667630632,0.9925951494298119,0.007404850570188137,1,82,40,43,44,40,
39,4,250,RL_adaptive,2.9318701610433173,3.013147667630632,0.9974469099413775,0.002553090058622476,0,1,72,108,39,30,0.9974469099413775
39,4,500,Z_only,2.9318701610433173,3.013147667630632,0.9890443631200523,0.010955636879947717,7,493,0,0,0,0,
39,4,500,ZX_split,2.9318701610433173,3.013147667630632,0.9994038139924565,0.0005961860075435199,7,243,95,155,0,0,
39,4,500,XYZ_split,2.9318701610433173,3.013147667630632,0.998814273524224,0.0011857264757759722,2,164,61,105,83,85,
39,4,500,RL_adaptive,2.9318701610433173,3.013147667630632,0.9982148105103511,0.0017851894896488973,0,1,74,136,144,145,0.9982148105103511
40,0,10,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,1,9,0,0,0,0,
40,0,10,ZX_split,2.7548726242541037,1.489907523868204,0.9049234199427508,0.09507658005724917,0,5,4,1,0,0,
40,0,10,XYZ_split,2.7548726242541037,1.489907523868204,0.9515688535297298,0.04843114647027025,0,3,2,1,4,0,
40,0,10,RL_adaptive,2.7548726242541037,1.489907523868204,0.8445542704781476,0.15544572952185243,0,1,0,1,5,3,0.8445542704781476
40,0,25,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,1,24,0,0,0,0,
40,0,25,ZX_split,2.7548726242541037,1.489907523868204,0.9546429374025617,0.045357062597438325,0,12,8,5,0,0,
40,0,25,XYZ_split,2.7548726242541037,1.489907523868204,0.9813908762998406,0.018609123700159436,0,8,3,5,7,2,
40,0,25,RL_adaptive,2.7548726242541037,1.489907523868204,0.8553259668563907,0.14467403314360927,0,1,0,1,16,7,0.8553259668563907
40,0,50,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,1,49,0,0,0,0,
40,0,50,ZX_split,2.7548726242541037,1.489907523868204,0.9618266526097129,0.038173347390287105,2,23,12,13,0,0,
40,0,50,XYZ_split,2.7548726242541037,1.489907523868204,0.9987501297503905,0.0012498702496095415,0,16,8,8,12,6,
40,0,50,RL_adaptive,2.7548726242541037,1.489907523868204,0.9940041264807885,0.005995873519211492,0,1,20,19,8,2,0.9940041264807885
40,0,100,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,4,96,0,0,0,0,
40,0,100,ZX_split,2.7548726242541037,1.489907523868204,0.9564495596834465,0.04355044031655353,1,49,30,20,0,0,
40,0,100,XYZ_split,2.7548726242541037,1.489907523868204,0.9776448229002174,0.02235517709978263,2,31,14,19,28,6,
40,0,100,RL_adaptive,2.7548726242541037,1.489907523868204,0.9945262608131031,0.005473739186896864,0,1,32,34,26,7,0.9945262608131031
40,0,250,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,12,238,0,0,0,0,
40,0,250,ZX_split,2.7548726242541037,1.489907523868204,0.9631872333523862,0.03681276664761379,3,122,63,62,0,0,
40,0,250,XYZ_split,2.7548726242541037,1.489907523868204,0.999282665526965,0.000717334473035014,3,80,45,38,58,26,
40,0,250,RL_adaptive,2.7548726242541037,1.489907523868204,0.9928658851838128,0.007134114816187198,0,1,94,98,35,22,0.9928658851838128
40,0,500,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,17,483,0,0,0,0,
40,0,500,ZX_split,2.7548726242541037,1.489907523868204,0.9626730616269372,0.03732693837306278,9,241,135,115,0,0,
40,0,500,XYZ_split,2.7548726242541037,1.489907523868204,0.997962468469316,0.002037531530683978,7,159,80,86,110,58,
40,0,500,RL_adaptive,2.7548726242541037,1.489907523868204,0.9990771083114155,0.000922891688584504,0,1,37,39,304,119,0.9990771083114155
40,1,10,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,0,10,0,0,0,0,
40,1,10,ZX_split,2.7548726242541037,1.489907523868204,0.9570711689836666,0.04292883101633338,0,5,3,2,0,0,
40,1,10,XYZ_split,2.7548726242541037,1.489907523868204,0.8166696106193209,0.18333038938067914,0,3,0,3,2,2,
