N,degraded_noise,degraded_basis,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
100,0.05,X,5.207920792079208,2.297029702970297,6.643564356435643,2.613861386138614,20.653465346534652,4.584158415841584,16.445544554455445,3.1782178217821784,38.37623762376238
100,0.05,Y,4.838709677419355,2.838709677419355,5.78494623655914,1.5268817204301075,21.440860215053764,5.032258064516129,18.268817204301076,2.4408602150537635,37.82795698924731
100,0.05,Z,5.622641509433962,2.5754716981132075,5.660377358490566,1.471698113207547,21.556603773584907,4.877358490566038,15.773584905660377,2.8679245283018866,39.594339622641506
100,0.1,X,5.044943820224719,2.662921348314607,5.853932584269663,2.202247191011236,21.98876404494382,4.617977528089888,16.06741573033708,2.292134831460674,39.26966292134831
100,0.1,Y,4.579439252336448,2.7289719626168223,5.94392523364486,1.3457943925233644,20.990654205607477,5.289719626168225,17.897196261682243,2.8411214953271027,38.38317757009346
100,0.1,Z,6.394230769230769,2.451923076923077,6.461538461538462,1.8269230769230769,20.5,4.778846153846154,15.057692307692308,3.3173076923076925,39.21153846153846
100,0.15,X,4.737373737373737,3.313131313131313,5.03030303030303,2.1313131313131315,21.707070707070706,5.9393939393939394,14.585858585858587,3.3636363636363638,39.19191919191919
100,0.15,Y,4.5,2.080357142857143,6.642857142857143,1.4017857142857142,19.732142857142858,5.75,17.357142857142858,2.955357142857143,39.580357142857146
100,0.15,Z,4.966292134831461,2.303370786516854,7.292134831460674,1.4382022471910112,22.84269662921348,2.9887640449438204,19.0561797752809,1.4606741573033708,37.651685393258425
100,0.2,X,5.320754716981132,2.8773584905660377,5.283018867924528,2.481132075471698,21.68867924528302,4.915094339622642,13.81132075471698,3.5660377358490565,40.056603773584904
100,0.2,Y,2.989010989010989,2.5274725274725274,6.725274725274725,1.021978021978022,19.582417582417584,6.406593406593407,17.714285714285715,2.7252747252747254,40.30769230769231
100,0.2,Z,6.12621359223301,3.087378640776699,6.543689320388349,1.058252427184466,22.203883495145632,3.737864077669903,18.04854368932039,1.7864077669902914,37.407766990291265
100,0.25,X,4.495495495495495,3.0720720720720722,5.117117117117117,3.369369369369369,23.45945945945946,4.72972972972973,13.315315315315315,3.09009009009009,39.351351351351354
100,0.25,Y,2.118279569892473,2.2795698924731185,5.956989247311828,0.3870967741935484,17.612903225806452,8.43010752688172,17.118279569892472,3.118279569892473,42.97849462365591
100,0.25,Z,7.145833333333333,3.3854166666666665,6.9375,0.9270833333333334,21.104166666666668,3.4583333333333335,19.25,1.40625,36.385416666666664
250,0.05,X,10.623762376237623,11.237623762376238,31.465346534653467,21.92079207920792,8.514851485148515,123.77227722772277,9.217821782178218,28.376237623762375,4.871287128712871
250,0.05,Y,10.89247311827957,12.494623655913978,29.301075268817204,20.612903225806452,8.13978494623656,126.46236559139786,9.494623655913978,28.602150537634408,4.0
250,0.05,Z,9.028301886792454,10.424528301886792,29.669811320754718,23.50943396226415,7.018867924528302,127.13207547169812,7.028301886792453,32.12264150943396,4.066037735849057
250,0.1,X,11.55056179775281,12.03370786516854,29.202247191011235,22.46067415730337,6.719101123595506,124.04494382022472,7.910112359550562,31.617977528089888,4.46067415730337
250,0.1,Y,11.63551401869159,12.065420560747663,30.261682242990656,23.30841121495327,7.766355140186916,123.44859813084112,7.579439252336448,29.439252336448597,4.4953271028037385
250,0.1,Z,7.663461538461538,10.663461538461538,30.432692307692307,23.423076923076923,8.086538461538462,127.08653846153847,7.5576923076923075,30.96153846153846,4.125
250,0.15,X,10.818181818181818,13.787878787878787,29.12121212121212,19.838383838383837,9.11111111111111,123.95959595959596,10.767676767676768,28.555555555555557,4.040404040404041
250,0.15,Y,10.607142857142858,11.214285714285714,31.705357142857142,26.178571428571427,7.142857142857143,120.75892857142857,6.955357142857143,31.169642857142858,4.267857142857143
250,0.15,Z,7.359550561797753,11.0,31.96629213483146,23.089887640449437,7.146067415730337,126.56179775280899,8.224719101123595,30.51685393258427,4.134831460674158
250,0.2,X,11.933962264150944,13.264150943396226,32.028301886792455,25.10377358490566,9.89622641509434,115.01886792452831,8.81132075471698,29.056603773584907,4.886792452830188
250,0.2,Y,8.791208791208792,12.824175824175825,28.12087912087912,20.36263736263736,6.186813186813187,130.73626373626374,8.736263736263735,30.76923076923077,3.4725274725274726
250,0.2,Z,8.485436893203884,12.087378640776699,29.611650485436893,23.75728155339806,5.893203883495145,127.30097087378641,7.592233009708738,31.37864077669903,3.8932038834951457
250,0.25,X,9.756756756756756,14.441441441441441,31.38738738738739,25.8018018018018,10.558558558558559,116.33333333333333,7.405405405405405,30.28828828828829,4.027027027027027
250,0.25,Y,7.838709677419355,11.483870967741936,25.053763440860216,18.333333333333332,4.774193548387097,135.5483870967742,9.612903225806452,33.41935483870968,3.935483870967742
250,0.25,Z,10.447916666666666,12.947916666666666,32.333333333333336,25.104166666666668,6.229166666666667,122.58333333333333,8.385416666666666,28.71875,3.25
