method,N,degraded_noise,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
ZX_split,50,0.2,0.772292024054884,0.150848614590402,300,0.22770797594511602,0.15084861459040197,300,0.017070127695167536,0.017070127695167536
ZX_split,50,0.25,0.7703710189631525,0.1546682293481188,300,0.22962898103684756,0.1546682293481188,300,0.017502357794446956,0.017502357794446956
ZX_split,100,0.05,0.8056009808603412,0.1339971710676812,300,0.19439901913965885,0.13399717106768116,300,0.015163207346168515,0.015163207346168512
ZX_split,100,0.1,0.8038035733103062,0.13361708592380345,300,0.19619642668969378,0.13361708592380345,300,0.015120196663182487,0.015120196663182487
ZX_split,100,0.15,0.8008806888316582,0.13466372927408643,300,0.19911931116834178,0.13466372927408643,300,0.015238635507908644,0.015238635507908644
ZX_split,100,0.2,0.7962717358498717,0.13876440112682006,300,0.20372826415012843,0.13876440112682006,300,0.015702670211523325,0.015702670211523325
ZX_split,100,0.25,0.7922408910890362,0.1416710363695145,300,0.20775910891096377,0.14167103636951445,300,0.01603158695292524,0.016031586952925236
ZX_split,250,0.05,0.8122669602502577,0.13178232603424295,300,0.1877330397497423,0.13178232603424292,300,0.014912574036419818,0.014912574036419815
ZX_split,250,0.1,0.8113074870601955,0.1316670036560984,300,0.18869251293980446,0.13166700365609849,300,0.01489952408083101,0.01489952408083102
ZX_split,250,0.15,0.8105459764759363,0.131202291913822,300,0.18945402352406363,0.131202291913822,300,0.014846936996729232,0.014846936996729232
ZX_split,250,0.2,0.8081532959329955,0.13295856212536586,300,0.19184670406700458,0.13295856212536591,300,0.01504567768029253,0.015045677680292536
ZX_split,250,0.25,0.8055819125886035,0.1335789028337569,300,0.19441808741139652,0.1335789028337568,300,0.015115875839788382,0.015115875839788372
Z_only,10,0.05,0.5254696327561075,0.19837482538234463,300,0.4745303672438925,0.1983748253823446,300,0.022448224731648567,0.022448224731648564
Z_only,10,0.1,0.5233525964215603,0.19936276684186946,300,0.4766474035784397,0.19936276684186946,300,0.022560020832098217,0.022560020832098217
Z_only,10,0.15,0.5132130233457947,0.20573034394254536,300,0.48678697665420534,0.20573034394254533,300,0.02328058001331776,0.023280580013317755
Z_only,10,0.2,0.5050330713813259,0.20777863387640802,300,0.4949669286186741,0.20777863387640813,300,0.023512365839277783,0.023512365839277797
Z_only,10,0.25,0.5046964679697087,0.21201493026823204,300,0.49530353203029137,0.21201493026823207,300,0.023991747904266364,0.023991747904266367
Z_only,25,0.05,0.5490981748639863,0.178647568291222,300,0.4509018251360138,0.1786475682912219,300,0.020215875442029775,0.02021587544202976
Z_only,25,0.1,0.5441186971990656,0.1823311962605864,300,0.4558813028009344,0.18233119626058633,300,0.02063271718757234,0.020632717187572334
Z_only,25,0.15,0.5360934558173625,0.18798143683893184,300,0.4639065441826376,0.18798143683893187,300,0.021272102099675543,0.021272102099675547
Z_only,25,0.2,0.5440541317002058,0.18262241589118788,300,0.4559458682997942,0.18262241589118777,300,0.020665671791068072,0.02066567179106806
Z_only,25,0.25,0.5353840003972427,0.19077958002278944,300,0.4646159996027574,0.19077958002278944,300,0.02158874180888008,0.02158874180888008
Z_only,50,0.05,0.552916452399844,0.17440297474624472,300,0.44708354760015606,0.17440297474624478,300,0.019735554465774314,0.01973555446577432
Z_only,50,0.1,0.5512893857850966,0.1736852981874269,300,0.4487106142149034,0.1736852981874269,300,0.0196543417179071,0.0196543417179071
Z_only,50,0.15,0.5540316346262041,0.17209042526187707,300,0.4459683653737959,0.17209042526187704,300,0.019473864856580772,0.01947386485658077
Z_only,50,0.2,0.5494717835926838,0.1764527785995263,300,0.4505282164073162,0.17645277859952627,300,0.019967511607844008,0.019967511607844005
Z_only,50,0.25,0.5460655784185311,0.18082827238298385,300,0.4539344215814689,0.18082827238298374,300,0.020462645340532496,0.020462645340532482
Z_only,100,0.05,0.555430428825,0.170434024587663,300,0.44456957117499996,0.1704340245876629,300,0.019286425475052667,0.019286425475052656
Z_only,100,0.1,0.5581711300071056,0.1677005918628422,300,0.4418288699928944,0.16770059186284214,300,0.018977108443633213,0.018977108443633206
Z_only,100,0.15,0.5565114411969201,0.16930507933990388,300,0.4434885588030799,0.16930507933990396,300,0.01915867329388463,0.01915867329388464
Z_only,100,0.2,0.5549488136770012,0.17149388954568714,300,0.4450511863229987,0.17149388954568714,300,0.01940636048554137,0.01940636048554137
