method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
RL_adaptive,10,0.0025,0.6794101818329454,0.21174441340919054,240,0.6284070572593244,0.19736876808980788,240,0.026789364501684277,0.024970594427861127
RL_adaptive,10,0.005,0.6885917675768329,0.21421386577010673,240,0.6413732220440109,0.20281643228993512,240,0.027101793332041588,0.025659819043473347
RL_adaptive,10,0.01,0.679547502733086,0.19969504687258235,240,0.6352966887083732,0.17409240626649164,240,0.02526490930134895,0.022025728345595727
RL_adaptive,25,0.0,0.6932905741689649,0.1955866932830411,240,0.6516005542401552,0.17910240206141062,240,0.024745130856949876,0.022659580268019883
RL_adaptive,25,0.0025,0.6749577979401857,0.22283652475292282,240,0.6506701046825043,0.19174798716971014,240,0.028192710210297022,0.024259467525251308
RL_adaptive,25,0.005,0.679375348804321,0.22386369424898692,240,0.6471522954495404,0.1992702469484491,240,0.028322665081795317,0.02521116469564877
RL_adaptive,25,0.01,0.6763234168465392,0.20791236446312075,240,0.6349504668105068,0.1898146703390318,240,0.026304543417851597,0.024014869198238087
RL_adaptive,50,0.0,0.7204525269659451,0.18864217739409908,240,0.6899585768316178,0.18290147931478745,240,0.023866528373695264,0.023140229857173823
RL_adaptive,50,0.0025,0.7010206591440703,0.2007130034060537,240,0.6645633039453024,0.1892423006623951,240,0.025393698572258,0.023942454442872147
RL_adaptive,50,0.005,0.6955726524332915,0.21490755970203004,240,0.6655995002105967,0.1971881939376711,240,0.02718955772353459,0.024947748645517735
RL_adaptive,50,0.01,0.658611246323605,0.21307127793649258,240,0.6468255193985969,0.18784385445395488,240,0.026957236026103473,0.023765526586260854
RL_adaptive,100,0.0,0.7111880680891148,0.2032169195747769,240,0.6879129739019777,0.17336639758693928,240,0.025710487675902307,0.02193387557444219
RL_adaptive,100,0.0025,0.6985633470111314,0.20389272597560465,240,0.6889660846567033,0.18358692879205898,240,0.025795988982467405,0.02322695118123837
RL_adaptive,100,0.005,0.69546049401326,0.19995944176213182,240,0.6866208817752623,0.17885822566838233,240,0.02529835987014783,0.022628687691964522
RL_adaptive,100,0.01,0.6272679679312708,0.23056209809374145,240,0.647647991029849,0.19214017080566198,240,0.029170130095334243,0.024309085601147393
RL_adaptive,250,0.0,0.7443851313143894,0.20445185740224828,240,0.7166491400285444,0.1732788644004593,240,0.02586672886812265,0.02192280109837526
RL_adaptive,250,0.0025,0.7332692651780448,0.21502312041397195,240,0.7308454546578848,0.1626948937179481,240,0.02720417817082027,0.020583744053498224
RL_adaptive,250,0.005,0.6924090498024208,0.21970541544568106,240,0.6930612356333138,0.17477091901508665,240,0.02779657022636168,0.022111572052395327
RL_adaptive,250,0.01,0.6167566714139251,0.2653247647790336,240,0.6259841710124465,0.18276408301013367,240,0.033568214247302844,0.023122846826248506
XYZ_interleaved,10,0.0,0.7874640878645198,0.15372949462063634,240,0.6674532717414308,0.14698620642646973,240,0.019449464567895838,0.018596320900656146
XYZ_interleaved,10,0.0025,0.7675953968012826,0.1702282758148933,240,0.6575885374326345,0.13804774531634453,240,0.021536848391299695,0.01746544954066172
XYZ_interleaved,10,0.005,0.7932237746147835,0.15163618752241081,240,0.6707087053071231,0.13212809102778078,240,0.01918462467925161,0.01671650993981457
XYZ_interleaved,10,0.01,0.8030570830807545,0.13182151312144585,240,0.6793051477319109,0.13428818443002696,240,0.016677722483046595,0.016989799461737533
