target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,1,10,0.005,RL_adaptive,0.929657903221618,0.07034209677838199,0.8716420882820808,0.12835791171791922,1,0,0,0,1,0,0,7,1
0,1,10,0.005,XYZ_interleaved,0.8873804775146513,0.11261952248534868,0.5999184600692395,0.40008153993076045,3,0,0,0,4,0,0,0,3
0,1,10,0.005,ZX_interleaved,0.6030346908452703,0.3969653091547297,0.6240566941601101,0.3759433058398899,4,0,0,0,5,0,0,0,1
0,1,10,0.005,Z_only,0.7029756050902495,0.2970243949097505,0.5883268801728339,0.41167311982716615,8,0,0,0,1,0,0,0,1
0,1,10,0.005,Balanced_random,0.7587802692948107,0.24121973070518932,0.7952358538832873,0.20476414611671268,1,2,1,2,2,1,0,0,1
0,1,10,0.01,RL_adaptive,0.5427399373973545,0.4572600626026455,0.4809821141771966,0.5190178858228034,1,0,0,1,1,0,0,6,1
0,1,10,0.01,XYZ_interleaved,0.854799894410581,0.14520010558941898,0.6037964940096235,0.39620350599037646,3,0,0,0,4,0,0,0,3
0,1,10,0.01,ZX_interleaved,0.9767123910046989,0.023287608995301134,0.7644765270041737,0.23552347299582632,4,0,0,0,5,0,0,0,1
0,1,10,0.01,Z_only,0.9124200300612131,0.08757996993878692,0.7748745464296609,0.22512545357033908,8,0,0,0,1,0,0,0,1
0,1,10,0.01,Balanced_random,0.866860697768444,0.133139302231556,0.7358522180290449,0.2641477819709551,1,0,1,1,2,1,1,1,2
0,1,25,0.0,RL_adaptive,0.30317415687040183,0.6968258431295982,0.38775182421314397,0.6122481757868561,21,2,0,0,1,0,0,0,1
0,1,25,0.0,XYZ_interleaved,0.7788575351933319,0.2211424648066681,0.7272063306171518,0.2727936693828482,8,0,0,0,9,0,0,0,8
0,1,25,0.0,ZX_interleaved,0.5536656997936897,0.44633430020631026,0.6079772609097509,0.3920227390902491,12,0,0,0,12,0,0,0,1
0,1,25,0.0,Z_only,0.9452806240104648,0.054719375989535246,0.9340347150611222,0.06596528493887777,23,0,0,0,1,0,0,0,1
0,1,25,0.0,Balanced_random,0.8942652543805626,0.10573474561943741,0.7477744755464986,0.25222552445350144,3,3,2,2,2,3,2,3,5
0,1,25,0.0025,RL_adaptive,0.8754919779762713,0.12450802202372868,0.8425899166474841,0.15741008335251594,21,1,0,1,1,0,0,0,1
0,1,25,0.0025,XYZ_interleaved,0.8976973948215411,0.1023026051784589,0.7358726786802415,0.26412732131975847,8,0,0,0,9,0,0,0,8
0,1,25,0.0025,ZX_interleaved,0.6245532035580633,0.3754467964419367,0.7391629682761688,0.2608370317238312,12,0,0,0,12,0,0,0,1
0,1,25,0.0025,Z_only,0.5360100296012055,0.4639899703987945,0.5068281624393799,0.4931718375606201,23,0,0,0,1,0,0,0,1
