method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
XYZ_interleaved,10,0.005,0.792774185165477,0.1445371794578124,160,0.680234830485529,0.13601305866499613,160,0.022396267989496215,0.021075441788466934
XYZ_interleaved,10,0.01,0.80854707546764,0.1343105198838741,160,0.6816978144841646,0.12495753799024203,160,0.02081163067116442,0.019362371111953013
XYZ_interleaved,25,0.0,0.8743706806021614,0.09120304300478653,160,0.7823661893162319,0.07288008973219381,160,0.014132057926237207,0.011292886901927984
XYZ_interleaved,25,0.0025,0.8823508838920265,0.08302205704638953,160,0.7693794728475108,0.08746466018090363,160,0.012864401018652095,0.013552789506270225
XYZ_interleaved,25,0.005,0.8781144290201175,0.09392607222878317,160,0.776037283179676,0.08314507507150544,160,0.01455399567590569,0.012883462859130577
XYZ_interleaved,25,0.01,0.8773835360969026,0.08272326544689859,160,0.7818271829421792,0.07982319901997974,160,0.012818102780646403,0.012368732832178762
XYZ_interleaved,50,0.0,0.8966613904193725,0.07578944495933188,160,0.8317897623516611,0.04584008594456134,160,0.011743696164901353,0.007102994906411557
XYZ_interleaved,50,0.0025,0.8887073555348882,0.07973644176815052,160,0.8247979605773885,0.0527483579416239,160,0.012355289656732221,0.008173442742538766
XYZ_interleaved,50,0.005,0.8857045390569243,0.07922152712890893,160,0.8337704926873523,0.049860080802881575,160,0.012275502806764423,0.007725899563199991
XYZ_interleaved,50,0.01,0.8794885736094384,0.09061098344474965,160,0.8226788763846006,0.055229464094219693,160,0.014040317346947714,0.008557894123922905
ZX_interleaved,10,0.0,0.6887061770893325,0.18771038304253995,160,0.6068553418831744,0.1723014700726062,160,0.029086025192976598,0.026698389391613883
ZX_interleaved,10,0.0025,0.6969590687959017,0.2099087198050907,160,0.6317035531292715,0.18079519857826845,160,0.032525693110394924,0.02801450625895845
ZX_interleaved,10,0.005,0.7063087628365677,0.1942576244737202,160,0.6270734130690505,0.1687528600063581,160,0.030100530763340554,0.026148526565093783
ZX_interleaved,10,0.01,0.7017678566043182,0.18672788961265216,160,0.6201002925313225,0.16544714566832255,160,0.028933786258771375,0.02563630082159244
ZX_interleaved,25,0.0,0.7477864716976568,0.17065125343269827,160,0.6840503771481108,0.15794482584765146,160,0.026442685674087755,0.024473804321543457
ZX_interleaved,25,0.0025,0.7165323308537246,0.18806455015808785,160,0.6730945159160993,0.16193478854962795,160,0.029140903956092305,0.025092055447494356
ZX_interleaved,25,0.005,0.737047942610598,0.16848081592608577,160,0.6840418341670131,0.15634366602467745,160,0.02610637289813009,0.02422570203655451
ZX_interleaved,25,0.01,0.7376731567589385,0.17614529834131437,160,0.680333724906857,0.15458330269470646,160,0.027293996752533203,0.023952930912579315
ZX_interleaved,50,0.0,0.7320711087354592,0.17150485468846186,160,0.7060344843785871,0.15145159794002205,160,0.026574952558995606,0.023467668233364217
ZX_interleaved,50,0.0025,0.7374130035137033,0.16593233857409975,160,0.7020540981776124,0.16005208684220984,160,0.0257114822412462,0.024800327795538025
ZX_interleaved,50,0.005,0.7388156617868838,0.1772646395275204,160,0.7013868744175806,0.16282001650766514,160,0.02746744046626824,0.02522922294069137
ZX_interleaved,50,0.01,0.7597614642225273,0.1574968117965174,160,0.7149223314871123,0.15146751104696898,160,0.02440438382510166,0.02347013399483172
Z_only,10,0.0,0.5408711115182264,0.19275665878536977,160,0.5233671385780311,0.1754970766759336,160,0.029867953720358012,0.027193553764860934
Z_only,10,0.0025,0.5249493418834102,0.20143705520554536,160,0.4994076607642314,0.19245746565627866,160,0.031212995080723428,0.029821593264696182
Z_only,10,0.005,0.5184444654864706,0.1853796755209559,160,0.4906368326234666,0.17249615139669533,160,0.028724878320909905,0.02672855557531282
Z_only,10,0.01,0.5206106165121334,0.18300610092264583,160,0.4894091366332849,0.1589362912257679,160,0.02835708912648793,0.02462743347352981
Z_only,25,0.0,0.5405457412382215,0.18423937632908974,160,0.5243109547854574,0.17636190392850606,160,0.028548187130552932,0.027327560135995955
Z_only,25,0.0025,0.5506047752045904,0.18081039739141325,160,0.5287800754574608,0.17253254559862113,160,0.02801686133945462,0.02673419491532659
Z_only,25,0.005,0.5356498572159597,0.1647167611932671,160,0.510656863493795,0.16029630235336148,160,0.02552312657466116,0.024838169381041917
Z_only,25,0.01,0.5413342033112526,0.17785224490011756,160,0.52405796816992,0.16985098407121016,160,0.02755849086206343,0.026318682651814154
Z_only,50,0.0,0.5399743467553187,0.17001779194631578,160,0.5298218697141741,0.15982346515648513,160,0.0263445297998465,0.024764902498317563
Z_only,50,0.0025,0.5349896042232556,0.17649616682583344,160,0.526195956620919,0.16462327923240908,160,0.027348364387475538,0.025508641394755106
Z_only,50,0.005,0.5483349839122063,0.1735324043543334,160,0.5275505341049868,0.17304495934847214,160,0.026889124634645708,0.026813594248468516
Z_only,50,0.01,0.5659416983151115,0.19455151036925838,160,0.543852961193635,0.1744471698411352,160,0.030146068854643403,0.027030869015342823
