target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_shots,x_shots,y_shots,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
9,2,50,XYZ_split,0.8314670505307366,3.4513340691031495,0.9911738565703785,0.008826143429621514,16,16,18,13,3,1,15,8,10,
9,2,50,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9352298555973991,0.06477014440260087,17,18,15,10,7,3,15,7,8,0.9352298555973991
9,2,100,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,100,0,0,82,18,0,0,0,0,
9,2,100,ZX_split,0.8314670505307366,3.4513340691031495,0.9870373531726288,0.01296264682737125,50,50,0,43,7,7,43,0,0,
9,2,100,XYZ_split,0.8314670505307366,3.4513340691031495,0.9843081559371664,0.015691844062833638,33,33,34,25,8,6,27,10,24,
9,2,100,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9972194270012995,0.0027805729987004923,34,37,29,30,4,6,31,10,19,0.9972194270012995
9,2,250,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,250,0,0,210,40,0,0,0,0,
9,2,250,ZX_split,0.8314670505307366,3.4513340691031495,0.9871289563528353,0.012871043647164737,125,125,0,104,21,20,105,0,0,
9,2,250,XYZ_split,0.8314670505307366,3.4513340691031495,0.9942072016596933,0.00579279834030666,83,83,84,69,14,17,66,28,56,
9,2,250,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9961453473794647,0.0038546526205353038,67,101,82,60,7,18,83,30,52,0.9961453473794647
9,2,500,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,500,0,0,416,84,0,0,0,0,
9,2,500,ZX_split,0.8314670505307366,3.4513340691031495,0.9867017949947844,0.013298205005215613,250,250,0,221,29,33,217,0,0,
9,2,500,XYZ_split,0.8314670505307366,3.4513340691031495,0.9993223368293854,0.000677663170614573,166,166,168,144,22,23,143,60,108,
9,2,500,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9989371779291274,0.0010628220708726044,141,181,178,121,20,19,162,61,117,0.9989371779291274
9,3,10,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,10,0,0,6,4,0,0,0,0,
9,3,10,ZX_split,0.8314670505307366,3.4513340691031495,0.9699261787330333,0.03007382126696667,5,5,0,5,0,1,4,0,0,
9,3,10,XYZ_split,0.8314670505307366,3.4513340691031495,0.9967219124644828,0.0032780875355171712,3,3,4,3,0,0,3,1,3,
9,3,10,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9626832559717233,0.03731674402827667,4,3,3,4,0,0,3,0,3,0.9626832559717233
9,3,25,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,25,0,0,22,3,0,0,0,0,
9,3,25,ZX_split,0.8314670505307366,3.4513340691031495,0.9825102333683549,0.017489766631645143,12,13,0,9,3,2,11,0,0,
9,3,25,XYZ_split,0.8314670505307366,3.4513340691031495,0.9876941037836159,0.012305896216384116,8,8,9,7,1,0,8,2,7,
9,3,25,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9656716998575972,0.034328300142402846,7,11,7,5,2,0,11,2,5,0.9656716998575972
9,3,50,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,50,0,0,40,10,0,0,0,0,
9,3,50,ZX_split,0.8314670505307366,3.4513340691031495,0.9829848509053366,0.017015149094663395,25,25,0,18,7,5,20,0,0,
9,3,50,XYZ_split,0.8314670505307366,3.4513340691031495,0.9726635209686549,0.027336479031345062,16,16,18,12,4,1,15,9,9,
9,3,50,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9809712093965525,0.019028790603447532,17,18,15,13,4,1,17,7,8,0.9809712093965525
9,3,100,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,100,0,0,78,22,0,0,0,0,
9,3,100,ZX_split,0.8314670505307366,3.4513340691031495,0.9810765345314363,0.018923465468563716,50,50,0,34,16,12,38,0,0,
9,3,100,XYZ_split,0.8314670505307366,3.4513340691031495,0.9931928384617676,0.006807161538232354,33,33,34,26,7,6,27,11,23,
9,3,100,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9951483496571804,0.004851650342819647,33,37,30,26,7,10,27,13,17,0.9951483496571804
9,3,250,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,250,0,0,207,43,0,0,0,0,
9,3,250,ZX_split,0.8314670505307366,3.4513340691031495,0.9871262903074502,0.01287370969254975,125,125,0,106,19,18,107,0,0,
9,3,250,XYZ_split,0.8314670505307366,3.4513340691031495,0.9986159439995457,0.0013840560004543256,83,83,84,69,14,8,75,32,52,
9,3,250,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9992489214885274,0.0007510785114726026,68,102,80,58,10,17,85,30,50,0.9992489214885274
9,3,500,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,500,0,0,406,94,0,0,0,0,
9,3,500,ZX_split,0.8314670505307366,3.4513340691031495,0.9871376354131588,0.012862364586841202,250,250,0,207,43,38,212,0,0,
9,3,500,XYZ_split,0.8314670505307366,3.4513340691031495,0.9951154782658059,0.004884521734194069,166,166,168,136,30,19,147,75,93,
9,3,500,RL_adaptive,0.8314670505307366,3.4513340691031495,0.998990670401599,0.0010093295984010542,142,177,181,124,18,26,151,73,108,0.998990670401599
9,4,10,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,10,0,0,8,2,0,0,0,0,
9,4,10,ZX_split,0.8314670505307366,3.4513340691031495,0.8993630006745413,0.10063699932545866,5,5,0,5,0,2,3,0,0,
9,4,10,XYZ_split,0.8314670505307366,3.4513340691031495,0.9870373531726288,0.01296264682737125,3,3,4,3,0,0,3,2,2,
9,4,10,RL_adaptive,0.8314670505307366,3.4513340691031495,0.8496022639257923,0.1503977360742077,3,3,4,2,1,0,3,3,1,0.8496022639257923
9,4,25,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,25,0,0,22,3,0,0,0,0,
9,4,25,ZX_split,0.8314670505307366,3.4513340691031495,0.9870957583936629,0.012904241606337075,12,13,0,9,3,3,10,0,0,
9,4,25,XYZ_split,0.8314670505307366,3.4513340691031495,0.9983964329975993,0.0016035670024007187,8,8,9,7,1,1,7,3,6,
9,4,25,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9832421522481147,0.01675784775188527,7,11,7,7,0,2,9,2,5,0.9832421522481147
9,4,50,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,50,0,0,41,9,0,0,0,0,
9,4,50,ZX_split,0.8314670505307366,3.4513340691031495,0.9784460804990146,0.021553919500985397,25,25,0,18,7,4,21,0,0,
9,4,50,XYZ_split,0.8314670505307366,3.4513340691031495,0.9989395424010827,0.0010604575989172638,16,16,18,14,2,1,15,7,11,
9,4,50,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9984726150758848,0.0015273849241151938,17,18,15,15,2,1,17,6,9,0.9984726150758848
9,4,100,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,100,0,0,88,12,0,0,0,0,
9,4,100,ZX_split,0.8314670505307366,3.4513340691031495,0.9843532830133513,0.015646716986648657,50,50,0,44,6,9,41,0,0,
9,4,100,XYZ_split,0.8314670505307366,3.4513340691031495,0.9967083766819967,0.003291623318003256,33,33,34,31,2,4,29,11,23,
9,4,100,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9913902759806447,0.008609724019355336,34,36,30,29,5,3,33,8,22,0.9913902759806447
9,4,250,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,250,0,0,203,47,0,0,0,0,
9,4,250,ZX_split,0.8314670505307366,3.4513340691031495,0.9830509620375784,0.016949037962421643,125,125,0,93,32,21,104,0,0,
9,4,250,XYZ_split,0.8314670505307366,3.4513340691031495,0.9938100294589876,0.006189970541012446,83,83,84,71,12,11,72,39,45,
9,4,250,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9999212988044789,7.870119552111365e-05,69,101,80,56,13,17,84,31,49,0.9999212988044789
9,4,500,Z_only,0.8314670505307366,3.4513340691031495,0.836896225801857,0.16310377419814304,500,0,0,414,86,0,0,0,0,
9,4,500,ZX_split,0.8314670505307366,3.4513340691031495,0.9871473914444876,0.012852608555512401,250,250,0,211,39,36,214,0,0,
9,4,500,XYZ_split,0.8314670505307366,3.4513340691031495,0.997688331326139,0.0023116686738610115,166,166,168,149,17,26,140,66,102,
