N,noise,method,fidelity,infidelity
10,0.0,Z_only,0.6220084679281462,0.37799153207185376
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,3.749399456654644e-33,1.0
10,0.0,ZX_split,0.16666666666666669,0.8333333333333333
10,0.0,XYZ_split,0.16666666666666666,0.8333333333333334
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.6220084679281462,0.37799153207185376
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.16666666666666657,0.8333333333333335
10,0.0,ZX_split,1.8746997283273224e-33,1.0
10,0.0,XYZ_split,0.16666666666666657,0.8333333333333335
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.1666666666666666,0.8333333333333334
10,0.0,ZX_split,0.1666666666666666,0.8333333333333334
10,0.0,XYZ_split,1.8746997283273224e-33,1.0
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.6220084679281462,0.37799153207185376
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.16666666666666657,0.8333333333333335
10,0.0,ZX_split,0.16666666666666669,0.8333333333333333
10,0.0,XYZ_split,0.16666666666666657,0.8333333333333335
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.0446581987385204,0.9553418012614796
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.044658198738520415,0.9553418012614796
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.6220084679281462,0.37799153207185376
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.1666666666666666,0.8333333333333334
10,0.0,ZX_split,0.16666666666666669,0.8333333333333333
10,0.0,XYZ_split,1.8746997283273224e-33,1.0
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.044658198738520415,0.9553418012614796
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.0,Z_only,0.04465819873852042,0.9553418012614796
10,0.0,ZX_split,0.6220084679281462,0.37799153207185376
10,0.0,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.0,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,3.749399456654644e-33,1.0
10,0.05,ZX_split,0.16666666666666669,0.8333333333333333
10,0.05,XYZ_split,0.16666666666666666,0.8333333333333334
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,3.749399456654644e-33,1.0
10,0.05,ZX_split,0.16666666666666669,0.8333333333333333
10,0.05,XYZ_split,0.16666666666666666,0.8333333333333334
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.16666666666666657,0.8333333333333335
10,0.05,ZX_split,1.8746997283273224e-33,1.0
10,0.05,XYZ_split,0.16666666666666657,0.8333333333333335
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.1666666666666666,0.8333333333333334
10,0.05,ZX_split,0.1666666666666666,0.8333333333333334
10,0.05,XYZ_split,1.8746997283273224e-33,1.0
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.16666666666666657,0.8333333333333335
10,0.05,ZX_split,0.16666666666666669,0.8333333333333333
10,0.05,XYZ_split,0.16666666666666657,0.8333333333333335
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.0446581987385204,0.9553418012614796
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.044658198738520415,0.9553418012614796
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.6220084679281462,0.37799153207185376
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.1666666666666666,0.8333333333333334
10,0.05,ZX_split,0.16666666666666669,0.8333333333333333
10,0.05,XYZ_split,1.8746997283273224e-33,1.0
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.044658198738520415,0.9553418012614796
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
10,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376
10,0.05,Z_only,0.04465819873852042,0.9553418012614796
10,0.05,ZX_split,0.6220084679281462,0.37799153207185376
10,0.05,XYZ_split,0.6220084679281462,0.37799153207185376
