target_id,seed,N,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,1,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9455103445116911,0.054489655488308864,,,,,,,,,
0,1,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9960084180020206,0.003991581997979443,,,,,,,,,
0,1,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9905347451511951,0.009465254848804894,46.0,5.0,2.0,18.0,30.0,14.0,85.0,10.0,40.0
0,1,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,1,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9514917198342342,0.048508280165765805,,,,,,,,,
0,1,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9935596577325017,0.006440342267498345,,,,,,,,,
0,1,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9983591217909035,0.0016408782090965301,27.0,0.0,133.0,90.0,28.0,11.0,96.0,83.0,32.0
0,2,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,2,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.3991741418103094,0.6008258581896906,,,,,,,,,
0,2,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.14062850152261985,0.8593714984773801,,,,,,,,,
0,2,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7278764814236143,0.2721235185763857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,2,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8333502353615626,0.1666497646384374,,,,,,,,,
0,2,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.2871915986017572,0.7128084013982428,,,,,,,,,
0,2,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7649375394601284,0.23506246053987156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,2,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8794219004314734,0.12057809956852661,,,,,,,,,
0,2,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.5426466480370256,0.45735335196297444,,,,,,,,,
