target_id,seed,N,RL_adaptive,XYZ_split,delta_fidelity
1,4,100,0.8701399445538226,0.9867158234156794,-0.11657587886185683
1,4,250,0.8415366343905527,0.9554286003383775,-0.1138919659478248
1,4,500,0.7840935405009237,0.9994168709365912,-0.21532333043566743
1,4,1000,0.6896272501594396,0.9992883659225614,-0.30966111576312183
2,0,1,0.4786462130297992,0.6497762859313986,-0.17113007290159937
2,0,2,0.6619817942606823,0.3146424898312871,0.34733930442939515
2,0,5,0.6648506251874838,0.5021502068235384,0.16270041836394544
2,0,10,0.5967720335168116,0.6029898921005,-0.006217858583688396
2,0,25,0.6672092026541556,0.9390818693240819,-0.27187266666992627
2,0,50,0.7690084564232756,0.9498867131511578,-0.18087825672788216
2,0,100,0.7702136844797419,0.986250860034211,-0.2160371755544691
2,0,250,0.6751420491773426,0.9881367895385847,-0.3129947403612422
2,0,500,0.8865717402369876,0.997705620936051,-0.11113388069906338
2,0,1000,0.8904491125044862,0.9964072774014151,-0.10595816489692889
2,1,1,0.09391339425134773,0.6497762859313986,-0.5558628916800509
2,1,2,0.49401372549626,0.22232732742180444,0.27168639807445555
2,1,5,0.19828985050759976,0.3268761175831662,-0.12858626707556645
2,1,10,0.626140703052776,0.8985506019869539,-0.2724098989341779
2,1,25,0.6496469680999211,0.9678950572035243,-0.31824808910360325
2,1,50,0.6451905406049543,0.9926697199877298,-0.3474791793827755
2,1,100,0.6313626971624037,0.9650277173060604,-0.33366502014365673
2,1,250,0.5179333279909739,0.9863837268058103,-0.4684503988148364
2,1,500,0.5860336869127905,0.9996698955404107,-0.4136362086276203
2,1,1000,0.6463250816003681,0.9952506545980228,-0.3489255729976547
2,2,1,0.18679378143412062,0.6497762859313986,-0.46298250449727796
2,2,2,0.22389829348675436,0.6497762859313986,-0.4258779924446442
2,2,5,0.8899352868737144,0.6482055252538167,0.24172976161989768
2,2,10,0.9015315566796684,0.8674799442076007,0.03405161247206778
2,2,25,0.261496933938766,0.954467269587287,-0.6929703356485211
2,2,50,0.8474922345578642,0.9874716119161489,-0.1399793773582847
2,2,100,0.3908541871509023,0.9894872604726749,-0.5986330733217726
2,2,250,0.8760414149319584,0.9980631625052223,-0.1220217475732639
2,2,500,0.8796886909448354,0.9948525469332601,-0.11516385598842471
2,2,1000,0.8833639007418157,0.9982193150471239,-0.11485541430530821
2,3,1,0.18679378143412062,0.29069025108674146,-0.10389646965262084
2,3,2,0.6619817942606823,0.3146424898312871,0.34733930442939515
