target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
41,2,500,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9448621522225715,0.05513784777742847,236,14,119,131,0,0,248,2,118,132,0,0
41,2,500,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9948044176519057,0.005195582348094252,162,4,84,82,60,108,161,5,90,76,70,98
41,3,10,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,10,0,0,0,0,0,10,0,0,0,0,0
41,3,10,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.933835096773897,0.06616490322610302,5,0,3,2,0,0,5,0,3,2,0,0
41,3,10,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.7215920292149727,0.2784079707850273,3,0,3,0,3,1,3,0,1,2,2,2
41,3,25,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,25,0,0,0,0,0,25,0,0,0,0,0
41,3,25,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9105071467359147,0.08949285326408529,12,0,6,7,0,0,12,0,4,9,0,0
41,3,25,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.7165631629106933,0.28343683708930667,7,1,6,2,6,3,8,0,1,7,4,5
41,3,50,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,50,0,0,0,0,0,49,1,0,0,0,0
41,3,50,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9383078364462213,0.06169216355377871,24,1,12,13,0,0,24,1,15,10,0,0
41,3,50,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9624537754959057,0.03754622450409428,13,3,10,6,6,12,15,1,8,8,5,13
41,3,100,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,97,3,0,0,0,0,96,4,0,0,0,0
41,3,100,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,47,3,25,25,0,0,49,1,25,25,0,0
41,3,100,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.981101540846376,0.01889845915362398,32,1,17,16,11,23,31,2,14,19,9,25
41,3,250,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,248,2,0,0,0,0,244,6,0,0,0,0
