target_id,seed,N,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
16,1,25,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9145004253970304,0.08549957460296964,3.0,4.0,0.0,0.0,1.0,7.0,5.0,3.0,2.0
16,1,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,1,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9734859641623956,0.026514035837604366,,,,,,,,,
16,1,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9371385037881147,0.0628614962118853,,,,,,,,,
16,1,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9809250287994893,0.019074971200510715,13.0,0.0,0.0,4.0,11.0,0.0,0.0,12.0,10.0
16,1,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,1,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9753789901871581,0.024621009812841876,,,,,,,,,
16,1,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9982995743359862,0.0017004256640138493,,,,,,,,,
16,1,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9960914331269526,0.003908566873047414,12.0,2.0,4.0,3.0,7.0,39.0,11.0,13.0,9.0
16,1,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,1,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9743609585557848,0.02563904144421525,,,,,,,,,
16,1,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9975250854211605,0.0024749145788395266,,,,,,,,,
16,1,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9822889280949957,0.017711071905004316,17.0,43.0,4.0,75.0,58.0,0.0,25.0,0.0,28.0
