method,N,noise,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean,infidelity_ci95_low,infidelity_ci95_high
ZX_split,25,0.15,2000,0.694040910177893,0.6858444200514567,0.7021277523113446,0.305959089822107,0.29800483106653897,0.314137511535519
ZX_split,50,0.0,2000,0.7706767119982565,0.7640297956414268,0.7773424060491312,0.22932328800174354,0.22271485501931368,0.23611048264259674
ZX_split,50,0.05,2000,0.7627058878392847,0.7557622929803707,0.769290139466165,0.2372941121607154,0.23040986057533064,0.24397784413479554
ZX_split,50,0.1,2000,0.75444905043324,0.7474442492528847,0.7615116298698822,0.24555094956676016,0.23866626224251847,0.2524806170020184
ZX_split,50,0.15,2000,0.7420480298254669,0.7349380764493881,0.7493949823909172,0.2579519701745331,0.25088062841490044,0.2652759813721705
ZX_split,100,0.0,2000,0.7817922140600743,0.7754475640640166,0.7882810077232182,0.2182077859399258,0.2118346878324436,0.22467509832442054
ZX_split,100,0.05,2000,0.7791266218782005,0.7726949427257348,0.7855515818986883,0.22087337812179958,0.21433380751674816,0.22736023903030386
ZX_split,100,0.1,2000,0.7741687542535745,0.7675904176039496,0.7806747021766336,0.22583124574642563,0.2193008128649017,0.23222611528923431
ZX_split,100,0.15,2000,0.7673521596692171,0.7606474005793773,0.7741013277339505,0.23264784033078287,0.22593347617100157,0.23930807502615978
Z_only,5,0.0,2000,0.507671329455535,0.49908459455342197,0.5162285649873645,0.49232867054446494,0.4837493490665235,0.5010834244485418
Z_only,5,0.05,2000,0.494634089916711,0.4856564487741492,0.5035679757143049,0.505365910083289,0.49644722027771254,0.5142584572937727
Z_only,5,0.1,2000,0.47431038234310163,0.46483116003058256,0.4834807819585957,0.5256896176568984,0.5165750771157424,0.5348627024168106
Z_only,5,0.15,2000,0.45920728724551885,0.449537053537362,0.469000272691605,0.5407927127544813,0.5312572251973448,0.5504479506708706
Z_only,10,0.0,2000,0.526433104658044,0.5185299688706647,0.5343445363686553,0.47356689534195584,0.4657750446382557,0.48153087960113
Z_only,10,0.05,2000,0.5167657595868823,0.5085666906149889,0.5251593407583542,0.48323424041311774,0.47487783650044274,0.4915603767173795
Z_only,10,0.1,2000,0.5038640124789805,0.49519919647539623,0.5126049166830096,0.49613598752101945,0.4873814041347006,0.5046903193506066
Z_only,10,0.15,2000,0.4882406794088702,0.4793405693723244,0.4973563107094614,0.5117593205911298,0.502725434286094,0.5207393087271311
Z_only,25,0.0,2000,0.5435103389901074,0.536314322501577,0.5506893896319319,0.4564896610098927,0.44924632285969135,0.46380411969222834
Z_only,25,0.05,2000,0.5404869206243098,0.5330592066035751,0.5481731531380796,0.45951307937569014,0.4519916397055133,0.46714465632918606
Z_only,25,0.1,2000,0.5361917386947546,0.5284848182491519,0.5438263138749059,0.4638082613052455,0.4563520488974776,0.47142716316340116
Z_only,25,0.15,2000,0.5296862937972175,0.5219093383893677,0.5372605859871163,0.47031370620278234,0.46255491605894106,0.47811154098367176
Z_only,50,0.0,2000,0.5500376245214134,0.5430743903370043,0.55710690329255,0.4499623754785867,0.44288962603632154,0.4569213811188411
Z_only,50,0.05,2000,0.5482987059283729,0.5413740147379823,0.5554473914367318,0.45170129407162707,0.44460850489659204,0.4587887366651269
Z_only,50,0.1,2000,0.5443245417891969,0.5372380010662985,0.5516243938745787,0.4556754582108031,0.4484734038664059,0.46285816003500185
Z_only,50,0.15,2000,0.5436909824692053,0.5365432816342369,0.5508501731568182,0.45630901753079456,0.44898493806613604,0.4636605863953918
Z_only,100,0.0,2000,0.5536427108916525,0.5468880627914996,0.5605242299799672,0.4463572891083475,0.43964846266364177,0.45329950595477686
Z_only,100,0.05,2000,0.5527244361426568,0.5458970829836973,0.5596778949861517,0.4472755638573433,0.44041628686315815,0.45426834670691124
Z_only,100,0.1,2000,0.5519759950760752,0.5450055053851914,0.5588123601987486,0.4480240049239248,0.4410014070506037,0.45488830412153225
Z_only,100,0.15,2000,0.5513249644099957,0.5442605079518483,0.5583423845984774,0.4486750355900043,0.44171931015997523,0.4555936701748816
