target_id,seed,N,method,fidelity,infidelity
0,4,50,ZX_split,0.12654871031781248,0.8734512896821875
0,4,50,XYZ_split,0.21140892721074442,0.7885910727892556
0,4,50,RL_adaptive,0.04323394152815496,0.956766058471845
0,4,100,Z_only,0.12654871031781248,0.8734512896821875
0,4,100,ZX_split,0.12654871031781248,0.8734512896821875
0,4,100,XYZ_split,0.21140892721074442,0.7885910727892556
0,4,100,RL_adaptive,0.12654871031781248,0.8734512896821875
0,4,250,Z_only,0.12654871031781248,0.8734512896821875
0,4,250,ZX_split,0.12654871031781248,0.8734512896821875
0,4,250,XYZ_split,0.21140892721074442,0.7885910727892556
0,4,250,RL_adaptive,0.4397750108977345,0.5602249891022655
0,4,500,Z_only,0.12654871031781248,0.8734512896821875
0,4,500,ZX_split,0.12654871031781248,0.8734512896821875
0,4,500,XYZ_split,0.21140892721074442,0.7885910727892556
0,4,500,RL_adaptive,0.12654871031781248,0.8734512896821875
1,0,10,Z_only,0.038011110707310905,0.9619888892926891
1,0,10,ZX_split,0.35131263197602475,0.6486873680239753
1,0,10,XYZ_split,0.038011110707310905,0.9619888892926891
1,0,10,RL_adaptive,0.5879643649946898,0.41203563500531015
1,0,25,Z_only,0.038011110707310905,0.9619888892926891
1,0,25,ZX_split,0.35131263197602475,0.6486873680239753
1,0,25,XYZ_split,0.35131263197602475,0.6486873680239753
1,0,25,RL_adaptive,0.5879643649946898,0.41203563500531015
1,0,50,Z_only,0.038011110707310905,0.9619888892926891
1,0,50,ZX_split,0.35131263197602475,0.6486873680239753
1,0,50,XYZ_split,0.35131263197602475,0.6486873680239753
1,0,50,RL_adaptive,0.5879643649946898,0.41203563500531015
1,0,100,Z_only,0.35131263197602475,0.6486873680239753
1,0,100,ZX_split,0.35131263197602475,0.6486873680239753
1,0,100,XYZ_split,0.35131263197602475,0.6486873680239753
1,0,100,RL_adaptive,0.5879643649946898,0.41203563500531015
1,0,250,Z_only,0.35131263197602475,0.6486873680239753
1,0,250,ZX_split,0.35131263197602475,0.6486873680239753
1,0,250,XYZ_split,0.35131263197602475,0.6486873680239753
1,0,250,RL_adaptive,0.5879643649946898,0.41203563500531015
1,0,500,Z_only,0.35131263197602475,0.6486873680239753
1,0,500,ZX_split,0.35131263197602475,0.6486873680239753
1,0,500,XYZ_split,0.35131263197602475,0.6486873680239753
1,0,500,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,10,Z_only,0.35131263197602475,0.6486873680239753
1,1,10,ZX_split,0.35131263197602475,0.6486873680239753
1,1,10,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,10,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,25,Z_only,0.07202556818847357,0.9279744318115264
1,1,25,ZX_split,0.35131263197602475,0.6486873680239753
1,1,25,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,25,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,50,Z_only,0.038011110707310905,0.9619888892926891
1,1,50,ZX_split,0.35131263197602475,0.6486873680239753
1,1,50,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,50,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,100,Z_only,0.35131263197602475,0.6486873680239753
1,1,100,ZX_split,0.35131263197602475,0.6486873680239753
1,1,100,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,100,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,250,Z_only,0.35131263197602475,0.6486873680239753
1,1,250,ZX_split,0.35131263197602475,0.6486873680239753
1,1,250,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,250,RL_adaptive,0.5879643649946898,0.41203563500531015
1,1,500,Z_only,0.35131263197602475,0.6486873680239753
1,1,500,ZX_split,0.35131263197602475,0.6486873680239753
1,1,500,XYZ_split,0.35131263197602475,0.6486873680239753
1,1,500,RL_adaptive,0.35131263197602475,0.6486873680239753
1,2,10,Z_only,0.038011110707310905,0.9619888892926891
1,2,10,ZX_split,0.35131263197602475,0.6486873680239753
1,2,10,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,10,RL_adaptive,0.5879643649946898,0.41203563500531015
1,2,25,Z_only,0.038011110707310905,0.9619888892926891
1,2,25,ZX_split,0.35131263197602475,0.6486873680239753
1,2,25,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,25,RL_adaptive,0.5879643649946898,0.41203563500531015
1,2,50,Z_only,0.07202556818847357,0.9279744318115264
1,2,50,ZX_split,0.35131263197602475,0.6486873680239753
1,2,50,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,50,RL_adaptive,0.5879643649946898,0.41203563500531015
1,2,100,Z_only,0.038011110707310905,0.9619888892926891
1,2,100,ZX_split,0.35131263197602475,0.6486873680239753
1,2,100,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,100,RL_adaptive,0.5879643649946898,0.41203563500531015
1,2,250,Z_only,0.35131263197602475,0.6486873680239753
1,2,250,ZX_split,0.35131263197602475,0.6486873680239753
1,2,250,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,250,RL_adaptive,0.5879643649946898,0.41203563500531015
1,2,500,Z_only,0.07202556818847357,0.9279744318115264
1,2,500,ZX_split,0.35131263197602475,0.6486873680239753
1,2,500,XYZ_split,0.35131263197602475,0.6486873680239753
1,2,500,RL_adaptive,0.35131263197602475,0.6486873680239753
1,3,10,Z_only,0.35131263197602475,0.6486873680239753
1,3,10,ZX_split,0.35131263197602475,0.6486873680239753
1,3,10,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,10,RL_adaptive,0.5879643649946898,0.41203563500531015
1,3,25,Z_only,0.35131263197602475,0.6486873680239753
1,3,25,ZX_split,0.35131263197602475,0.6486873680239753
1,3,25,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,25,RL_adaptive,0.5879643649946898,0.41203563500531015
1,3,50,Z_only,0.35131263197602475,0.6486873680239753
1,3,50,ZX_split,0.35131263197602475,0.6486873680239753
1,3,50,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,50,RL_adaptive,0.5879643649946898,0.41203563500531015
1,3,100,Z_only,0.35131263197602475,0.6486873680239753
1,3,100,ZX_split,0.35131263197602475,0.6486873680239753
1,3,100,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,100,RL_adaptive,0.5879643649946898,0.41203563500531015
1,3,250,Z_only,0.35131263197602475,0.6486873680239753
1,3,250,ZX_split,0.35131263197602475,0.6486873680239753
1,3,250,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,250,RL_adaptive,0.5879643649946898,0.41203563500531015
1,3,500,Z_only,0.35131263197602475,0.6486873680239753
1,3,500,ZX_split,0.35131263197602475,0.6486873680239753
1,3,500,XYZ_split,0.35131263197602475,0.6486873680239753
1,3,500,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,10,Z_only,0.07202556818847357,0.9279744318115264
1,4,10,ZX_split,0.35131263197602475,0.6486873680239753
1,4,10,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,10,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,25,Z_only,0.038011110707310905,0.9619888892926891
1,4,25,ZX_split,0.35131263197602475,0.6486873680239753
1,4,25,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,25,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,50,Z_only,0.35131263197602475,0.6486873680239753
1,4,50,ZX_split,0.35131263197602475,0.6486873680239753
1,4,50,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,50,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,100,Z_only,0.35131263197602475,0.6486873680239753
1,4,100,ZX_split,0.35131263197602475,0.6486873680239753
1,4,100,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,100,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,250,Z_only,0.35131263197602475,0.6486873680239753
1,4,250,ZX_split,0.35131263197602475,0.6486873680239753
1,4,250,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,250,RL_adaptive,0.5879643649946898,0.41203563500531015
1,4,500,Z_only,0.35131263197602475,0.6486873680239753
1,4,500,ZX_split,0.35131263197602475,0.6486873680239753
1,4,500,XYZ_split,0.35131263197602475,0.6486873680239753
1,4,500,RL_adaptive,0.5879643649946898,0.41203563500531015
2,0,10,Z_only,0.18659533284948077,0.8134046671505193
2,0,10,ZX_split,0.18659533284948077,0.8134046671505193
2,0,10,XYZ_split,0.3218915514215043,0.6781084485784957
2,0,10,RL_adaptive,0.2275130780846039,0.7724869219153961
2,0,25,Z_only,0.18659533284948077,0.8134046671505193
2,0,25,ZX_split,0.18659533284948077,0.8134046671505193
2,0,25,XYZ_split,0.061111224285697596,0.9388887757143024
2,0,25,RL_adaptive,0.2275130780846039,0.7724869219153961
2,0,50,Z_only,0.18659533284948077,0.8134046671505193
2,0,50,ZX_split,0.18659533284948077,0.8134046671505193
2,0,50,XYZ_split,0.3218915514215043,0.6781084485784957
2,0,50,RL_adaptive,0.26400003764441143,0.7359999623555886
2,0,100,Z_only,0.18659533284948077,0.8134046671505193
2,0,100,ZX_split,0.18659533284948077,0.8134046671505193
2,0,100,XYZ_split,0.3218915514215043,0.6781084485784957
2,0,100,RL_adaptive,0.18659533284948077,0.8134046671505193
2,0,250,Z_only,0.18659533284948077,0.8134046671505193
2,0,250,ZX_split,0.18659533284948077,0.8134046671505193
2,0,250,XYZ_split,0.3218915514215043,0.6781084485784957
2,0,250,RL_adaptive,0.18659533284948077,0.8134046671505193
2,0,500,Z_only,0.18659533284948077,0.8134046671505193
2,0,500,ZX_split,0.18659533284948077,0.8134046671505193
2,0,500,XYZ_split,0.3218915514215043,0.6781084485784957
2,0,500,RL_adaptive,0.18659533284948077,0.8134046671505193
2,1,10,Z_only,0.18659533284948077,0.8134046671505193
2,1,10,ZX_split,0.18659533284948077,0.8134046671505193
2,1,10,XYZ_split,0.3218915514215043,0.6781084485784957
2,1,10,RL_adaptive,0.2275130780846039,0.7724869219153961
2,1,25,Z_only,0.18659533284948077,0.8134046671505193
2,1,25,ZX_split,0.18659533284948077,0.8134046671505193
2,1,25,XYZ_split,0.061111224285697596,0.9388887757143024
2,1,25,RL_adaptive,0.18659533284948077,0.8134046671505193
2,1,50,Z_only,0.18659533284948077,0.8134046671505193
2,1,50,ZX_split,0.18659533284948077,0.8134046671505193
2,1,50,XYZ_split,0.3218915514215043,0.6781084485784957
2,1,50,RL_adaptive,0.26400003764441143,0.7359999623555886
2,1,100,Z_only,0.18659533284948077,0.8134046671505193
2,1,100,ZX_split,0.18659533284948077,0.8134046671505193
2,1,100,XYZ_split,0.3218915514215043,0.6781084485784957
2,1,100,RL_adaptive,0.18659533284948077,0.8134046671505193
2,1,250,Z_only,0.18659533284948077,0.8134046671505193
2,1,250,ZX_split,0.18659533284948077,0.8134046671505193
2,1,250,XYZ_split,0.3218915514215043,0.6781084485784957
2,1,250,RL_adaptive,0.18659533284948077,0.8134046671505193
2,1,500,Z_only,0.18659533284948077,0.8134046671505193
