target_id,seed,N,method,theta1,phi1,theta2,phi2,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,100,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9960234868653757,0.0039765131346243265,10.0,6.0,40.0,8.0,7.0,13.0,8.0,4.0,4.0
0,1,3,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,3,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.142212111623538,0.857787888376462,,,,,,,,,
0,1,3,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.34805946357753753,0.6519405364224624,,,,,,,,,
0,1,3,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.916744087928849,0.08325591207115102,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,6,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,6,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6325781735859555,0.36742182641404453,,,,,,,,,
0,1,6,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8406326154939346,0.15936738450606536,,,,,,,,,
0,1,6,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.916744087928849,0.08325591207115102,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0
0,1,9,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,9,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4179817380439946,0.5820182619560055,,,,,,,,,
0,1,9,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8797392420863666,0.12026075791363344,,,,,,,,,
0,1,9,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.38956418696294265,0.6104358130370573,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0
0,1,12,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,12,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6752140458193787,0.3247859541806213,,,,,,,,,
0,1,12,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7036120982384418,0.29638790176155816,,,,,,,,,
0,1,12,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8996618511375638,0.1003381488624362,3.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0
0,1,15,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.2767185697730169,0.7232814302269831,,,,,,,,,
0,1,15,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.601688350272299,0.39831164972770094,,,,,,,,,
0,1,15,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8590783090830176,0.14092169091698237,,,,,,,,,
0,1,15,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9038304574656149,0.09616954253438514,1.0,0.0,4.0,2.0,3.0,0.0,4.0,0.0,1.0
0,1,20,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,20,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6941099717582051,0.3058900282417949,,,,,,,,,
0,1,20,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9262643294266953,0.07373567057330466,,,,,,,,,
0,1,20,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9736424124164483,0.026357587583551667,1.0,2.0,2.0,0.0,7.0,0.0,4.0,0.0,4.0
0,1,25,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,25,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6184925732659725,0.3815074267340275,,,,,,,,,
0,1,25,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8446824862333353,0.1553175137666647,,,,,,,,,
0,1,25,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7810787770641106,0.21892122293588945,1.0,1.0,6.0,7.0,3.0,0.0,5.0,1.0,1.0
0,1,30,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,30,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7005989655712859,0.29940103442871413,,,,,,,,,
0,1,30,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8466863671097485,0.15331363289025146,,,,,,,,,
0,1,30,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8726606259617729,0.12733937403822715,1.0,4.0,2.0,9.0,1.0,1.0,1.0,6.0,5.0
0,1,40,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,40,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6743177222320041,0.32568227776799585,,,,,,,,,
0,1,40,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.945278487421854,0.05472151257814595,,,,,,,,,
0,1,40,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9459510489419904,0.05404895105800955,4.0,6.0,2.0,3.0,4.0,9.0,3.0,6.0,3.0
0,1,50,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,50,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6943575902530332,0.30564240974696677,,,,,,,,,
0,1,50,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.944867633547579,0.05513236645242103,,,,,,,,,
0,1,50,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9572919419828148,0.042708058017185246,1.0,7.0,21.0,7.0,1.0,3.0,0.0,3.0,7.0
0,1,75,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,75,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7087086307620999,0.2912913692379001,,,,,,,,,
0,1,75,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9942128438148449,0.005787156185155129,,,,,,,,,
0,1,75,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9859303029095596,0.01406969709044037,2.0,1.0,13.0,6.0,1.0,1.0,7.0,12.0,32.0
0,1,100,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,1,100,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7060370327508203,0.2939629672491797,,,,,,,,,
0,1,100,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9872203222931146,0.012779677706885373,,,,,,,,,
0,1,100,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9752217470309594,0.02477825296904057,9.0,6.0,40.0,10.0,8.0,13.0,5.0,5.0,4.0
0,2,3,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,2,3,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4396960200424997,0.5603039799575003,,,,,,,,,
0,2,3,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4167799156766012,0.5832200843233988,,,,,,,,,
0,2,3,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4895499338213892,0.5104500661786108,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,2,6,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,2,6,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.142212111623538,0.857787888376462,,,,,,,,,
0,2,6,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.3303035498411241,0.6696964501588759,,,,,,,,,
0,2,6,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8597489697901758,0.1402510302098242,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
0,2,9,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,2,9,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.31983809280655734,0.6801619071934426,,,,,,,,,
0,2,9,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.49278765639932615,0.5072123436006739,,,,,,,,,
0,2,9,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.5303032466253271,0.46969675337467287,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
