target_id,seed,theta1,theta2,N,method,l1,kl
2,2,1.1052493731436484,5.1025402722608115,25,Dirichlet(alpha=0.5),0.041517323453048316,0.0017723809565247783
2,2,1.1052493731436484,5.1025402722608115,50,MLE,0.11108838668456694,0.013331081120196101
2,2,1.1052493731436484,5.1025402722608115,50,Dirichlet(alpha=0.5),0.108767576831852,0.010084523833833198
2,2,1.1052493731436484,5.1025402722608115,100,MLE,0.08925307285888065,0.01178028306910256
2,2,1.1052493731436484,5.1025402722608115,100,Dirichlet(alpha=0.5),0.09597043684484485,0.012514472377423466
2,2,1.1052493731436484,5.1025402722608115,250,MLE,0.055075269139544275,0.0036910445210460554
2,2,1.1052493731436484,5.1025402722608115,250,Dirichlet(alpha=0.5),0.05504352310779825,0.0033692512615702062
2,2,1.1052493731436484,5.1025402722608115,500,MLE,0.07598688245497737,0.0030581028102035926
2,2,1.1052493731436484,5.1025402722608115,500,Dirichlet(alpha=0.5),0.07767612548286584,0.0031969853858653044
2,2,1.1052493731436484,5.1025402722608115,1000,MLE,0.02832834199842496,0.0007738511368289049
2,2,1.1052493731436484,5.1025402722608115,1000,Dirichlet(alpha=0.5),0.02903093680880417,0.0008002196064945087
2,3,1.1052493731436484,5.1025402722608115,10,MLE,0.21967165800157504,2.0880788250723707
2,3,1.1052493731436484,5.1025402722608115,10,Dirichlet(alpha=0.5),0.20299187378988579,0.040143705911224986
2,3,1.1052493731436484,5.1025402722608115,25,MLE,0.21967165800157507,0.04536219356567386
2,3,1.1052493731436484,5.1025402722608115,25,Dirichlet(alpha=0.5),0.18966547160119646,0.03415176782739951
2,3,1.1052493731436484,5.1025402722608115,50,MLE,0.17967165800157509,0.031534255153498884
2,3,1.1052493731436484,5.1025402722608115,50,Dirichlet(alpha=0.5),0.15813319646311355,0.022630776604159353
2,3,1.1052493731436484,5.1025402722608115,100,MLE,0.1689116133154331,0.021741105410999717
2,3,1.1052493731436484,5.1025402722608115,100,Dirichlet(alpha=0.5),0.17440180939386443,0.023312724209676845
2,3,1.1052493731436484,5.1025402722608115,250,MLE,0.06673380959609673,0.003962914799563892
2,3,1.1052493731436484,5.1025402722608115,250,Dirichlet(alpha=0.5),0.06755920642149352,0.0036893872985405904
2,3,1.1052493731436484,5.1025402722608115,500,MLE,0.09998688245497739,0.00804443095849961
2,3,1.1052493731436484,5.1025402722608115,500,Dirichlet(alpha=0.5),0.10158050795298534,0.008292217546878243
2,3,1.1052493731436484,5.1025402722608115,1000,MLE,0.01673380959609673,0.000426897789078705
2,3,1.1052493731436484,5.1025402722608115,1000,Dirichlet(alpha=0.5),0.01704119482563761,0.00039994040636361517
2,4,1.1052493731436484,5.1025402722608115,10,MLE,0.5510752691395443,2.202900252755616
2,4,1.1052493731436484,5.1025402722608115,10,Dirichlet(alpha=0.5),0.46774193580621093,0.12462998578447634
2,4,1.1052493731436484,5.1025402722608115,25,MLE,0.3707338095960967,2.1101485240066884
2,4,1.1052493731436484,5.1025402722608115,25,Dirichlet(alpha=0.5),0.35591899478128186,0.11038394543496163
2,4,1.1052493731436484,5.1025402722608115,50,MLE,0.10034145954344759,0.010104817611340633
2,4,1.1052493731436484,5.1025402722608115,50,Dirichlet(alpha=0.5),0.09187992108190911,0.009381171877307783
2,4,1.1052493731436484,5.1025402722608115,100,MLE,0.1692661904039033,0.016924306294693908
2,4,1.1052493731436484,5.1025402722608115,100,Dirichlet(alpha=0.5),0.16259952373723666,0.016129037370837304
2,4,1.1052493731436484,5.1025402722608115,250,MLE,0.12801311754502256,0.013900990340781766
2,4,1.1052493731436484,5.1025402722608115,250,Dirichlet(alpha=0.5),0.12302899056089564,0.012685578348629711
2,4,1.1052493731436484,5.1025402722608115,500,MLE,0.06526619040390333,0.0023201596191534564
2,4,1.1052493731436484,5.1025402722608115,500,Dirichlet(alpha=0.5),0.06432595136007854,0.0022362301023375157
2,4,1.1052493731436484,5.1025402722608115,1000,MLE,0.053266190403903305,0.002909165408096801
2,4,1.1052493731436484,5.1025402722608115,1000,Dirichlet(alpha=0.5),0.052819084615480155,0.002941932837867414
3,0,5.801547725061365,1.7377681925808202,10,MLE,0.11376246751904355,1.3153090366654083
3,0,5.801547725061365,1.7377681925808202,10,Dirichlet(alpha=0.5),0.05290419914762314,0.0060161620144071806
3,0,5.801547725061365,1.7377681925808202,25,MLE,0.34729010338553,0.5963037094160049
3,0,5.801547725061365,1.7377681925808202,25,Dirichlet(alpha=0.5),0.3324752885707152,0.05671862408838844
3,0,5.801547725061365,1.7377681925808202,50,MLE,0.13362483295636407,0.552355329790373
3,0,5.801547725061365,1.7377681925808202,50,Dirichlet(alpha=0.5),0.11747098680251797,0.013164652574951686
3,0,5.801547725061365,1.7377681925808202,100,MLE,0.20729010338552997,0.03640826025876404
3,0,5.801547725061365,1.7377681925808202,100,Dirichlet(alpha=0.5),0.20611363279729472,0.034295063892953115
3,0,5.801547725061365,1.7377681925808202,250,MLE,0.02580290499184546,0.003114033657451198
3,0,5.801547725061365,1.7377681925808202,250,Dirichlet(alpha=0.5),0.02493511169900716,0.0028043261904298544
3,0,5.801547725061365,1.7377681925808202,500,MLE,0.07037516704363589,0.0027914418096002687
3,0,5.801547725061365,1.7377681925808202,500,Dirichlet(alpha=0.5),0.07123572481256024,0.0029097781775435224
3,0,5.801547725061365,1.7377681925808202,1000,MLE,0.03580290499184548,0.002417140788807044
3,0,5.801547725061365,1.7377681925808202,1000,Dirichlet(alpha=0.5),0.03539971137907104,0.002329243605482441
3,1,5.801547725061365,1.7377681925808202,10,MLE,0.11376246751904355,1.3153090366654083
3,1,5.801547725061365,1.7377681925808202,10,Dirichlet(alpha=0.5),0.05290419914762314,0.0060161620144071806
3,1,5.801547725061365,1.7377681925808202,25,MLE,0.20623753248095647,0.05441806289757703
