target_id,seed,N,method,plane,alpha1,alpha2,fidelity,infidelity,shots_X,shots_Y,shots_Z
39,3,25,ZX_split,XY,4.345252015930811,3.863412887443477,0.5844449546487319,0.4155550453512681,12,0,13
39,3,25,XYZ_split,XY,4.345252015930811,3.863412887443477,0.7233557012876567,0.2766442987123433,9,8,8
39,3,25,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9814701187570862,0.01852988124291377,13,12,0
39,3,50,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,50
39,3,50,ZX_split,XY,4.345252015930811,3.863412887443477,0.5127815136184077,0.48721848638159226,25,0,25
39,3,50,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9699494139338422,0.030050586066157847,17,17,16
39,3,50,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9883092913991443,0.011690708600855748,25,25,0
39,3,100,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,100
39,3,100,ZX_split,XY,4.345252015930811,3.863412887443477,0.5846729489362728,0.41532705106372725,50,0,50
39,3,100,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9314548745954666,0.06854512540453339,34,33,33
39,3,100,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9972986567984556,0.0027013432015443595,50,50,0
39,3,250,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,250
39,3,250,ZX_split,XY,4.345252015930811,3.863412887443477,0.5945841738756674,0.4054158261243326,125,0,125
39,3,250,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9960088479272532,0.003991152072746806,84,83,83
39,3,250,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9924317014165737,0.007568298583426336,125,125,0
39,3,500,Z_only,XY,4.345252015930811,3.863412887443477,0.2499999999999999,0.7500000000000001,0,0,500
39,3,500,ZX_split,XY,4.345252015930811,3.863412887443477,0.5924795658981243,0.40752043410187566,250,0,250
39,3,500,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9961254927367469,0.003874507263253113,167,167,166
39,3,500,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9994253792088992,0.0005746207911008216,250,250,0
39,4,10,Z_only,XY,4.345252015930811,3.863412887443477,0.2500000000000001,0.7499999999999999,0,0,10
39,4,10,ZX_split,XY,4.345252015930811,3.863412887443477,0.47982056495256226,0.5201794350474378,5,0,5
39,4,10,XYZ_split,XY,4.345252015930811,3.863412887443477,0.8605546096576492,0.13944539034235082,4,3,3
39,4,10,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9915094218412956,0.008490578158704354,5,5,0
39,4,25,Z_only,XY,4.345252015930811,3.863412887443477,0.2499999999999999,0.7500000000000001,0,0,25
39,4,25,ZX_split,XY,4.345252015930811,3.863412887443477,0.5665967866854063,0.43340321331459375,12,0,13
39,4,25,XYZ_split,XY,4.345252015930811,3.863412887443477,0.8962401832320579,0.1037598167679421,9,8,8
39,4,25,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9747891619511431,0.02521083804885693,13,12,0
39,4,50,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,50
39,4,50,ZX_split,XY,4.345252015930811,3.863412887443477,0.584234364168675,0.415765635831325,25,0,25
39,4,50,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9710855534901672,0.02891444650983277,17,17,16
39,4,50,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9734345390381188,0.02656546096188117,25,25,0
39,4,100,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,100
39,4,100,ZX_split,XY,4.345252015930811,3.863412887443477,0.5747859819544506,0.42521401804554937,50,0,50
39,4,100,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9602930002199633,0.03970699978003667,34,33,33
39,4,100,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9989812528978631,0.0010187471021368966,50,50,0
39,4,250,Z_only,XY,4.345252015930811,3.863412887443477,0.2499999999999999,0.7500000000000001,0,0,250
39,4,250,ZX_split,XY,4.345252015930811,3.863412887443477,0.5937417084690718,0.4062582915309282,125,0,125
39,4,250,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9849310077711566,0.015068992228843392,84,83,83
39,4,250,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.995418318142442,0.004581681857558029,125,125,0
39,4,500,Z_only,XY,4.345252015930811,3.863412887443477,0.25,0.75,0,0,500
39,4,500,ZX_split,XY,4.345252015930811,3.863412887443477,0.5900943597484332,0.40990564025156684,250,0,250
39,4,500,XYZ_split,XY,4.345252015930811,3.863412887443477,0.9873436595735318,0.012656340426468238,167,167,166
39,4,500,ORACLE_plane,XY,4.345252015930811,3.863412887443477,0.9981568336970784,0.001843166302921584,250,250,0
40,0,10,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,10
40,0,10,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6056529928087989,0.3943470071912011,5,0,5
40,0,10,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.8958113970172128,0.1041886029827872,4,3,3
40,0,10,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9949984934988246,0.005001506501175368,0,5,5
40,0,25,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,25
40,0,25,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7034595376790411,0.2965404623209589,12,0,13
40,0,25,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9800399641540538,0.01996003584594619,9,8,8
40,0,25,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9947661057395188,0.005233894260481153,0,13,12
40,0,50,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,50
40,0,50,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7131666216750512,0.2868333783249488,25,0,25
40,0,50,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.975396787098294,0.024603212901705973,17,17,16
40,0,50,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.999262430157834,0.0007375698421659971,0,25,25
40,0,100,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,100
40,0,100,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7032267566119557,0.29677324338804434,50,0,50
40,0,100,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9617939769167061,0.038206023083293905,34,33,33
40,0,100,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9943828408329825,0.005617159167017549,0,50,50
40,0,250,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,250
40,0,250,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7142648416353894,0.2857351583646106,125,0,125
40,0,250,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9959425971210504,0.004057402878949623,84,83,83
40,0,250,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9969217207719309,0.0030782792280691362,0,125,125
40,0,500,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,500
40,0,500,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7190663107388245,0.28093368926117546,250,0,250
40,0,500,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9972933485343697,0.0027066514656303164,167,167,166
40,0,500,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9948488490932501,0.005151150906749891,0,250,250
40,1,10,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,10
40,1,10,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.5510330243505416,0.4489669756494584,5,0,5
40,1,10,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.44399048321052753,0.5560095167894725,4,3,3
40,1,10,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9781110184829496,0.021888981517050432,0,5,5
40,1,25,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,25
40,1,25,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7138895573218655,0.28611044267813446,12,0,13
40,1,25,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9162677722823135,0.08373222771768651,9,8,8
40,1,25,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.995163162055248,0.004836837944751982,0,13,12
40,1,50,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,50
40,1,50,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6944230138062825,0.30557698619371754,25,0,25
40,1,50,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9696372111860687,0.030362788813931285,17,17,16
40,1,50,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9977649041238099,0.002235095876190085,0,25,25
40,1,100,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,100
40,1,100,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7176628523401019,0.28233714765989815,50,0,50
40,1,100,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9773757556289075,0.02262424437109245,34,33,33
40,1,100,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9935540797607657,0.006445920239234293,0,50,50
40,1,250,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,250
40,1,250,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7199132752843178,0.2800867247156822,125,0,125
40,1,250,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9841932803896404,0.01580671961035962,84,83,83
40,1,250,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9996660210904303,0.00033397890956965437,0,125,125
40,1,500,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,500
40,1,500,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.719927302164344,0.280072697835656,250,0,250
40,1,500,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9977226613988652,0.0022773386011347707,167,167,166
40,1,500,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9998117765872967,0.00018822341270330334,0,250,250
40,2,10,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,10
40,2,10,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6440180342806011,0.3559819657193989,5,0,5
40,2,10,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.6663965799036503,0.3336034200963497,4,3,3
40,2,10,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9897161874686663,0.010283812531333703,0,5,5
40,2,25,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,25
40,2,25,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6400921883404365,0.35990781165956354,12,0,13
40,2,25,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9185998277553084,0.08140017224469165,9,8,8
40,2,25,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9779538753097101,0.02204612469028988,0,13,12
40,2,50,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,50
40,2,50,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6821559255522206,0.3178440744477794,25,0,25
40,2,50,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9421688213354491,0.0578311786645509,17,17,16
40,2,50,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9858438724291105,0.014156127570889465,0,25,25
40,2,100,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,100
40,2,100,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7145527005846408,0.2854472994153592,50,0,50
40,2,100,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9700641122309333,0.02993588776906675,34,33,33
40,2,100,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9976196563622347,0.002380343637765292,0,50,50
40,2,250,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,250
40,2,250,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7164596035880876,0.2835403964119124,125,0,125
40,2,250,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9843773878183921,0.015622612181607876,84,83,83
40,2,250,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9993486712732669,0.0006513287267331247,0,125,125
40,2,500,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,500
40,2,500,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7193088972821169,0.2806911027178831,250,0,250
40,2,500,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9968192588615095,0.0031807411384905393,167,167,166
40,2,500,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9997068358496684,0.00029316415033164844,0,250,250
40,3,10,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,10
40,3,10,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7014859308616247,0.2985140691383753,5,0,5
40,3,10,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.7048575663515536,0.2951424336484464,4,3,3
40,3,10,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9636950425542397,0.036304957445760344,0,5,5
40,3,25,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,25
40,3,25,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7157014560872049,0.2842985439127951,12,0,13
40,3,25,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.8567463451097505,0.14325365489024955,9,8,8
40,3,25,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9899551329076399,0.010044867092360077,0,13,12
40,3,50,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,50
40,3,50,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.6915251300680876,0.3084748699319124,25,0,25
40,3,50,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9125984441406393,0.08740155585936071,17,17,16
40,3,50,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9972760113323622,0.002723988667637789,0,25,25
40,3,100,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,100
40,3,100,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7085093506834351,0.2914906493165649,50,0,50
40,3,100,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9819168189945207,0.018083181005479343,34,33,33
40,3,100,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9911067665875661,0.008893233412433865,0,50,50
40,3,250,Z_only,YZ,0.5235590902283719,1.970660985759607,0.7204011270367074,0.27959887296329256,0,0,250
40,3,250,ZX_split,YZ,0.5235590902283719,1.970660985759607,0.7200406475159828,0.27995935248401715,125,0,125
40,3,250,XYZ_split,YZ,0.5235590902283719,1.970660985759607,0.9910160063032954,0.00898399369670455,84,83,83
40,3,250,ORACLE_plane,YZ,0.5235590902283719,1.970660985759607,0.9983095251059848,0.0016904748940151926,0,125,125
