state_group,target_id,seed,N,noise,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
uniform,0,0,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8090017110922416,0.19099828890775838,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
uniform,0,0,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.7472609963767506,0.2527390036232494,,,,,,,,,
uniform,0,0,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9722028250430023,0.02779717495699774,,,,,,,,,
uniform,0,0,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7100062875796215,0.2899937124203785,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
uniform,0,0,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8573652765369829,0.1426347234630171,,,,,,,,,
uniform,0,0,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.7875340376769246,0.21246596232307535,,,,,,,,,
uniform,0,0,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.960022458241075,0.039977541758924984,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
uniform,0,0,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.877011596560462,0.12298840343953799,,,,,,,,,
uniform,0,0,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8936401513468651,0.10635984865313486,,,,,,,,,
uniform,0,0,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8964552584645217,0.10354474153547832,1.0,0.0,6.0,0.0,7.0,0.0,9.0,1.0,1.0
uniform,0,0,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8659718234513061,0.13402817654869392,,,,,,,,,
uniform,0,0,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9858784069768067,0.014121593023193268,,,,,,,,,
uniform,0,0,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.838608167878416,0.16139183212158403,1.0,0.0,6.0,6.0,1.0,0.0,2.0,8.0,1.0
uniform,0,0,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9046850676963643,0.09531493230363575,,,,,,,,,
uniform,0,0,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8932558105490959,0.10674418945090414,,,,,,,,,
uniform,0,0,25,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9683969927674337,0.03160300723256626,1.0,0.0,6.0,1.0,5.0,0.0,8.0,3.0,1.0
uniform,0,0,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9315847727015841,0.06841522729841587,,,,,,,,,
uniform,0,0,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8928444639654484,0.10715553603455164,,,,,,,,,
uniform,0,0,25,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8825230592261399,0.11747694077386006,1.0,0.0,6.0,0.0,8.0,0.0,9.0,0.0,1.0
uniform,0,0,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9424279711590432,0.0575720288409568,,,,,,,,,
uniform,0,0,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9757990276329729,0.024200972367027118,,,,,,,,,
uniform,0,0,50,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9699650208081351,0.03003497919186493,14.0,0.0,4.0,0.0,10.0,4.0,5.0,8.0,5.0
uniform,0,0,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9220489958781372,0.07795100412186284,,,,,,,,,
uniform,0,0,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8879977024581349,0.11200229754186508,,,,,,,,,
uniform,0,0,50,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9721432195332473,0.027856780466752662,11.0,0.0,7.0,0.0,11.0,3.0,7.0,7.0,4.0
uniform,0,0,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9064191403420556,0.09358085965794438,,,,,,,,,
uniform,0,0,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9367129190604541,0.06328708093954594,,,,,,,,,
uniform,0,0,50,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9038183121714081,0.09618168782859193,11.0,1.0,6.0,0.0,10.0,6.0,8.0,7.0,1.0
uniform,0,0,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9460300605381146,0.05396993946188544,,,,,,,,,
uniform,0,0,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9020497190769486,0.09795028092305136,,,,,,,,,
uniform,0,0,50,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9630276013220189,0.03697239867798108,15.0,1.0,1.0,0.0,6.0,7.0,3.0,11.0,6.0
uniform,0,0,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9519566529691839,0.04804334703081614,,,,,,,,,
