state_group,state1,state2,seed,N,noise,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
extreme,Z_plus,Z_plus,0,100,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.0,ZX_split,0.9960403215293758,0.003959678470624173,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.0,XYZ_split,0.9952635142462088,0.004736485753791153,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.0,RL_adaptive,0.9542692916219254,0.04573070837807458,17.0,7.0,0.0,3.0,8.0,11.0,0.0,35.0,19.0
extreme,Z_plus,Z_plus,0,100,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.05,ZX_split,0.9812784397527916,0.01872156024720839,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.05,XYZ_split,0.9592767573758143,0.040723242624185696,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.05,RL_adaptive,0.9995024973395396,0.0004975026604604471,15.0,5.0,0.0,1.0,12.0,11.0,0.0,37.0,19.0
extreme,Z_plus,Z_plus,0,100,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.1,ZX_split,0.980911880020912,0.019088119979087992,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.1,XYZ_split,0.9721885329524588,0.027811467047541227,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.1,RL_adaptive,0.9537698949919765,0.04623010500802349,14.0,6.0,0.0,5.0,8.0,12.0,0.0,38.0,17.0
extreme,Z_plus,Z_plus,0,100,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.15,ZX_split,0.991436093467161,0.008563906532839005,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.15,XYZ_split,0.9222441829818496,0.07775581701815037,,,,,,,,,
extreme,Z_plus,Z_plus,0,100,0.15,RL_adaptive,0.9622750772449497,0.03772492275505035,11.0,7.0,0.0,8.0,7.0,13.0,0.0,39.0,15.0
extreme,Z_plus,Z_plus,1,5,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.0,ZX_split,0.8316526181217495,0.1683473818782505,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.0,XYZ_split,0.665739294480206,0.33426070551979403,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.0,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,1,5,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.05,ZX_split,0.8316526181217495,0.1683473818782505,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.05,XYZ_split,0.7125446534374215,0.28745534656257854,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.05,RL_adaptive,0.8535533905932737,0.14644660940672627,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,1,5,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.1,ZX_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.1,XYZ_split,0.665739294480206,0.33426070551979403,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.1,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
extreme,Z_plus,Z_plus,1,5,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.15,ZX_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.15,XYZ_split,0.13157894736842105,0.868421052631579,,,,,,,,,
extreme,Z_plus,Z_plus,1,5,0.15,RL_adaptive,0.13304882904564366,0.8669511709543564,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
extreme,Z_plus,Z_plus,1,10,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.0,ZX_split,0.9806749532300754,0.019325046769924636,,,,,,,,,
